TARA_72	TARA_142	TARA_143	TARA_144	TARA_148	TARA_76	TARA_78
1325850	9	11	12	14	9	45	11
2628818	9	10	11	14	12	43	14
2558297	16	10	11	14	10	39	15
4099786	11	10	9	16	10	40	11
5225544	13	12	12	15	9	56	12
4091790	12	10	9	12	9	42	10
6316269	11	13	12	17	10	40	15
5882021	15	13	9	18	10	44	12
4938823	10	10	10	15	10	46	15
5358343	15	9	11	14	9	52	14
364905	11	10	15	15	11	45	15
5905239_1	13	10	9	14	9	49	11
5905239_2	13	10	9	14	9	49	11
5905239_3	13	10	9	14	9	49	11
4115193	14	9	9	12	9	35	12
5330800	16	11	14	15	9	45	10
5392435	13	9	13	14	12	47	11
4550341	16	11	15	16	9	54	11
2616351	13	13	14	13	12	55	11
343629	11	10	10	13	11	49	16
6388355	14	11	13	16	10	39	15
6512091	13	11	12	12	10	51	10
6426794	12	12	12	16	10	40	15
1514036	10	10	11	14	10	48	12
4246484	15	12	15	15	11	38	16
5438164	11	10	12	15	9	54	14
4366906	11	11	14	15	9	35	12
3265459	11	12	12	11	12	44	13
5622023	13	12	14	17	9	46	14
4883377	12	9	10	13	10	47	12
5265377	16	12	14	14	10	49	13
1187979	15	10	15	10	12	48	11
869488	9	11	10	15	12	42	9
6523943	13	11	16	16	11	48	13
4869770	10	9	14	12	10	54	11
1012767	14	13	10	13	11	51	14
1029009	12	10	12	15	9	42	9
4535837	13	9	15	13	10	55	13
4323179	12	12	14	11	9	44	16
2237767_1	9	10	14	14	9	46	14
2237767_2	9	10	14	14	9	46	14
1701771	14	12	16	13	12	36	15
1162047	10	13	12	10	9	48	15
956519	13	13	13	12	12	58	11
1974340	15	12	14	14	11	37	13
6552751	12	13	15	14	9	58	12
4691192	13	13	10	15	9	43	12
1267065	14	9	14	12	11	36	14
5189917	16	9	15	16	10	51	15
4586426	12	10	9	18	9	53	13
3717924	11	13	15	14	12	49	10
4973869	16	11	14	16	9	50	15
2555376	10	11	10	14	11	45	10
1197690	14	10	14	12	11	48	14
6366516	10	13	15	15	11	48	12
1919155	13	12	10	12	9	50	12
4897718	11	12	15	13	9	57	10
4223112	11	10	14	13	10	46	9
5403621	14	9	12	13	9	52	12
1316656_1	11	11	14	10	10	47	16
1316656_2	11	11	14	10	10	47	16
783582	14	9	11	14	9	47	14
6561198	11	9	10	13	11	46	13
493180	9	9	16	17	10	36	13
3348077	15	10	11	17	9	36	12
2174550	15	13	16	14	9	54	10
4572434	9	12	14	18	9	52	14
1932959	12	11	11	16	10	51	10
5844046	11	13	14	15	9	48	9
1247364	10	9	13	11	10	57	15
1744348	13	9	9	16	9	47	11
678174	11	9	13	11	9	50	17
4925308	14	12	14	18	11	55	12
2503335	12	12	14	16	11	58	11
4101477	14	11	11	11	12	50	10
1858490	11	9	14	14	9	36	13
5823418	14	11	12	10	12	46	12
6538431	9	9	12	12	9	48	13
5560706	12	11	11	12	11	41	9
3826889_1	13	13	14	14	9	53	10
3826889_2	13	13	14	14	9	53	10
6560946	14	9	10	12	10	51	9
4818742	14	12	12	16	9	53	11
3823061	11	11	9	15	9	51	11
5439935	10	13	14	14	10	44	13
2278767	15	9	10	17	11	50	11
1518528_1	12	9	13	13	9	57	14
1518528_2	12	9	13	13	9	57	14
1310592	16	9	16	16	9	52	14
3591069	16	11	12	18	11	52	14
5895706	13	13	14	17	9	40	10
4269449	10	9	11	11	9	49	15
4968716	12	13	11	16	9	52	10
2994273	11	13	11	17	9	52	9
4521872	11	9	11	13	10	52	11
4821307_1	14	9	13	13	10	37	16
4821307_2	14	9	13	13	10	37	16
3784985	16	13	13	12	10	57	12
5202711	15	9	15	14	9	55	13
3756641	11	9	11	12	9	50	16
6324595	14	9	13	15	12	50	10
6485957	13	11	14	15	11	41	13
3453066	11	9	16	18	10	50	14
6524208	12	11	13	11	12	58	17
2528575	12	9	11	14	9	40	14
5055680_1	13	11	10	13	10	43	17
5055680_2	13	11	10	13	10	43	17
4529324	12	11	9	13	10	50	9
6317800	13	13	11	16	9	49	13
3669671	11	9	16	16	9	46	13
975562	11	11	10	14	11	48	14
1227341	16	10	12	14	10	57	11
6342428	12	9	10	17	10	39	11
879446	9	10	10	12	9	49	10
3867979	16	10	10	15	11	42	12
1782887	11	9	9	17	9	40	10
5643928	14	11	10	10	10	44	9
1810586	10	9	13	13	10	48	13
3737170_1	13	10	10	16	11	47	10
3737170_2	13	10	10	16	11	47	10
5809909	15	11	13	14	9	42	14
1729267	11	12	12	15	12	40	13
1310393	10	12	14	12	10	57	9
4378326	11	11	15	13	9	57	11
2067723	16	13	14	14	10	47	16
1769722	9	13	13	14	11	48	16
4638020	14	11	12	14	9	47	11
3066220	11	9	16	16	12	37	17
2866921	12	11	16	15	10	40	13
4931965	15	11	13	15	11	55	10
6174238	16	11	10	14	9	34	11
1685461	12	9	14	13	10	44	12
1493840	10	9	12	15	10	47	12
4938647	14	12	14	15	12	48	14
6484140	15	9	10	16	10	35	12
3437187	10	9	15	12	11	47	15
1273079	10	11	13	15	9	49	15
6089390	9	11	10	17	9	51	17
1148770	12	11	10	17	10	39	10
5818850_1	12	9	10	14	11	44	9
5818850_2	12	9	10	14	11	44	9
4603334	11	12	16	10	10	45	12
4665912	11	9	9	11	11	49	15
229011	10	11	12	16	9	58	13
4803204	14	11	13	13	11	58	9
4925022	10	12	15	10	12	48	10
2523615	10	10	12	15	10	37	14
4091693	13	10	15	15	12	58	13
4309534	13	9	14	13	12	56	10
4371750	13	11	13	12	12	48	11
6349194	13	12	12	16	9	52	10
4193687	12	9	15	12	9	51	12
6500661	16	10	13	15	10	55	11
4158041	13	11	14	13	9	56	11
3762495	15	9	15	15	11	36	13
5194993	13	11	11	16	11	47	9
5180312	16	13	11	13	9	55	13
2049941	11	13	14	12	9	47	16
1063028	11	11	12	13	11	46	10
6571733	11	11	16	13	9	46	12
6182369	11	11	15	15	10	40	17
3884511	10	10	15	15	9	44	14
1594161	13	10	10	12	10	47	10
2749467	16	10	15	17	9	55	12
820576	12	9	13	13	11	57	11
6547561	13	9	11	13	9	41	16
4212290	12	11	13	14	11	35	12
2830073	14	12	15	13	9	41	15
4429613	9	11	13	13	10	57	13
1313385	10	9	11	11	12	49	14
2228023	10	10	10	14	10	38	13
3547062	11	9	14	16	10	39	15
1751594	14	13	11	13	9	51	11
4421728	10	12	16	15	9	50	14
4938627	16	9	14	15	11	48	13
3270941	12	9	9	16	12	51	15
5298618	13	9	11	18	9	52	16
5676489	15	12	10	11	9	48	14
400199	12	13	13	10	11	47	9
3270531	16	12	11	16	9	47	11
4424249	11	11	12	16	9	44	9
6430039	14	12	14	13	10	50	10
3543052	15	10	12	17	12	42	10
1977759	14	9	10	13	9	53	10
4983707	13	12	12	18	12	48	14
5807000	13	11	10	14	12	44	11
3945261	12	10	11	14	9	51	12
5024096	9	11	13	17	10	45	10
5340882_1	12	10	11	18	10	40	11
5340882_2	12	10	11	18	10	40	11
5499235	12	9	14	12	9	58	14
4908530	16	11	10	13	10	46	11
3309717_1	10	9	12	16	9	47	12
3309717_2	10	9	12	16	9	47	12
3736971	11	13	11	13	12	52	10
4261413	16	11	13	17	10	47	12
262709	13	10	12	15	10	46	13
561446	11	10	10	10	9	44	12
4018487	15	9	15	15	10	54	16
5464790	12	10	12	13	10	47	10
3717460	13	11	9	10	9	51	12
3854998	14	10	12	14	10	44	16
3973481	12	9	11	17	10	53	17
4431691	12	11	13	16	9	57	14
1946864	14	11	12	13	12	46	13
4456777	12	10	13	13	11	52	11
3079546	14	10	12	15	10	46	15
2774344	13	9	14	11	9	53	13
3621853	10	13	16	16	11	49	13
2171878	15	10	12	15	9	50	9
5443347	10	12	14	11	10	51	11
839770	10	12	15	16	11	50	12
5686521	15	9	14	10	9	50	10
3493403	10	11	11	13	11	52	12
4897994	16	11	14	14	10	50	14
4782953	12	12	16	10	10	44	17
6555288	9	12	15	10	9	48	13
4991132	10	10	13	17	10	55	12
5216193	9	9	14	15	9	55	13
3639176	13	9	15	16	9	53	14
1852809	11	10	10	15	9	42	9
5306707	10	9	16	10	9	52	14
6263519	13	12	12	13	9	52	10
2513359	14	11	15	14	11	47	16
3806535	13	9	13	18	9	52	14
5238861	9	11	10	10	9	43	12
3689230	11	13	10	10	11	46	9
5004733	12	12	9	14	9	51	13
697955	14	12	15	13	11	57	14
4075825	11	9	16	16	10	48	15
