TARA_146	TARA_147	TARA_150	TARA_18	TARA_25	TARA_30
1804577	14	18	13	14	40	22
912972	13	21	18	9	45	19
1932525	21	21	16	13	51	22
1383856	9	14	12	16	38	20
1503013	13	21	18	9	47	24
2436630	17	12	15	17	50	23
964279	17	20	11	11	43	16
2025847	16	16	17	11	46	13
2528935	10	13	13	9	40	11
2398597	18	21	16	14	55	19
1868080_1	14	16	15	10	41	13
1868080_2	14	16	15	10	41	13
2462294	11	14	15	10	32	18
2433031	14	14	10	15	48	27
969097_1	21	12	14	9	37	18
969097_2	21	12	14	9	37	18
789544_1	13	15	18	10	44	15
789544_2	13	15	18	10	44	15
2482627	13	10	11	12	38	20
1959215_1	14	21	18	11	53	17
1959215_2	14	21	18	11	53	17
593294	16	16	14	14	40	24
447000_1	17	17	14	10	41	26
447000_2	17	17	14	10	41	26
1120973	16	13	15	10	31	24
640943	12	14	15	13	32	15
2475288	13	15	17	9	49	21
776701	14	16	9	9	39	13
2374275	13	10	14	9	33	17
188315	11	18	10	14	37	19
1373931	15	18	10	12	36	20
830288	16	13	15	11	45	24
1551661	15	13	16	11	49	27
1953899	12	11	18	13	38	16
1903557	15	18	11	10	36	19
869273	19	10	11	10	44	26
502586	18	20	12	16	49	26
1058696	12	16	15	13	49	23
1896139	12	23	14	14	57	18
2067256	11	14	11	14	49	27
1137061	9	23	19	12	51	24
1110426	14	14	12	14	54	26
2520360	15	21	12	10	41	12
1406297	12	18	11	17	36	18
588965	20	10	18	11	45	24
365587	22	17	10	9	33	23
1178371	16	17	13	10	52	23
529484	23	11	20	10	44	18
1247218	16	16	10	14	52	19
402953	17	12	12	14	54	24
826881	11	12	10	12	43	21
2031777	14	15	9	9	42	19
2784656	13	24	15	15	53	20
515596_1	10	21	19	14	35	20
515596_2	10	21	19	14	35	20
515596_3	10	21	19	14	35	20
1639922_1	16	16	16	14	51	17
1639922_2	16	16	16	14	51	17
1340021	15	16	21	9	38	22
1581104	12	18	9	14	35	23
2622659	10	12	18	15	49	23
1829169	23	20	20	11	50	22
916775	9	16	15	15	38	26
691464	18	13	14	9	32	17
1217219	12	16	19	15	41	20
1262642	14	20	15	10	56	25
2817320	14	18	11	16	38	19
1763930	12	20	20	13	33	19
649775_1	22	17	17	14	32	18
649775_2	22	17	17	14	32	18
529477	14	13	13	11	54	27
695278	11	10	13	9	40	14
656671	11	14	20	12	44	26
1699289	9	24	13	12	55	21
1711263	21	15	18	12	41	29
1435855	22	20	12	10	46	23
2861323	14	18	9	10	40	25
581921	13	21	19	9	38	19
2708725	17	11	16	11	40	16
2704564	14	20	13	9	59	17
2473726	20	22	14	11	36	13
1340612	16	13	12	13	33	14
2835713	13	18	9	10	32	15
1307814_1	10	14	19	10	54	29
1307814_2	10	14	19	10	54	29
1857481	10	17	20	11	45	26
