TARA_22	TARA_67	TARA_80	TARA_81	TARA_83
2989148_1	33	11	19	17	63
2989148_2	33	11	19	17	63
5409544	33	10	20	14	40
1226179_1	25	9	21	13	43
1226179_2	25	9	21	13	43
707161	27	9	26	16	63
4974430	29	12	23	11	50
438596_1	17	10	20	19	50
438596_2	17	10	20	19	50
2905888	19	10	25	21	75
654926	20	13	22	15	57
800785_1	21	11	23	16	62
800785_2	21	11	23	16	62
800785_3	21	11	23	16	62
5474927	26	10	24	17	63
879673	25	13	18	14	45
2146236	27	10	12	19	61
5214162_1	29	10	14	17	66
5214162_2	29	10	14	17	66
5214162_3	29	10	14	17	66
1924258	24	9	28	22	62
5666179_1	28	11	19	21	60
5666179_2	28	11	19	21	60
5666179_3	28	11	19	21	60
466918	16	12	20	15	43
5616664	17	9	21	13	70
836480	31	13	20	18	53
669837	14	10	14	21	58
4802699	18	12	18	17	48
442845_1	19	9	12	20	40
442845_2	19	9	12	20	40
1758475	28	9	25	16	59
6347191	23	9	15	24	51
1907607	29	11	19	13	53
1141233	26	11	19	14	45
2811833	25	9	21	12	53
5113364	33	11	16	18	58
193981	33	9	19	20	61
4982668	23	12	24	19	68
4906995	23	9	26	14	54
5615075_1	18	11	24	14	66
5615075_2	18	11	24	14	66
4231788	18	10	17	21	46
935151	17	10	19	19	69
1963866	13	12	18	17	62
853744	27	10	22	18	68
752703	19	11	26	17	57
5157506	20	11	20	14	58
2184692	32	9	14	17	60
84944	24	9	23	20	56
5338183	14	13	25	18	60
1306043	18	12	22	18	63
4010949_1	21	9	26	23	62
4010949_2	21	9	26	23	62
5120380	26	9	26	12	65
5305481	32	11	17	15	56
137070	23	10	16	24	68
2713913	21	11	23	12	53
2680114	27	13	20	18	72
5942850	24	12	15	19	42
3046346	28	12	25	23	63
439005	29	11	18	15	60
4961367	14	9	15	15	63
5205309	25	9	26	24	62
5237570	26	10	27	19	67
4997127	27	10	23	22	54
5259166_1	26	9	25	19	65
5259166_2	26	9	25	19	65
1910663	17	13	26	12	66
1515395	21	9	18	13	55
2134970	16	13	18	19	51
184746	20	10	22	16	58
801331	21	12	21	17	46
4215034	20	9	22	18	52
1230308	13	10	25	16	72
1110247	25	9	19	19	51
4194964	22	12	18	17	58
750941	14	12	16	19	58
315834	24	10	17	23	50
1825896	25	11	16	17	65
4741604	33	11	15	15	61
87244	16	9	26	14	54
5046937	29	12	27	15	51
83032	20	11	19	16	70
104625	29	9	17	17	57
832823_1	31	10	25	16	51
832823_2	31	10	25	16	51
832823_3	31	10	25	16	51
6046314	20	9	23	20	73
5135950	30	9	22	18	51
5847531	17	12	15	19	49
2110704	16	12	15	20	56
5627310	25	13	25	17	47
393106	25	11	28	18	49
1540493	22	9	17	20	44
3570439	23	9	18	15	60
698173	16	10	18	16	44
313178	27	10	23	21	49
2162614	26	13	22	16	59
5115765	23	12	17	21	56
4980672	22	13	21	21	68
4926683	18	10	27	16	71
144293_1	14	9	17	15	64
144293_2	14	9	17	15	64
84290	29	9	19	15	48
3145246	30	12	23	15	51
5012429_1	22	9	20	14	56
5012429_2	22	9	20	14	56
569007	24	12	24	15	62
4912083	30	12	23	14	62
4397530	32	9	22	20	45
2334803	14	9	17	21	63
2584842	19	11	15	11	44
3590382	17	9	13	15	37
5005194	24	12	25	17	67
1842298_1	19	11	14	14	48
1842298_2	19	11	14	14	48
325662_1	21	9	27	17	51
325662_2	21	9	27	17	51
325662_3	21	9	27	17	51
326468	23	10	28	13	54
464832	23	10	25	16	55
4512825	15	11	19	18	69
1923635	30	11	23	16	61
2223949	21	13	25	18	60
5061489	14	10	17	19	63
2381521	21	10	22	13	45
5322781	26	12	29	20	63
5859877	21	10	29	18	53
878983	18	11	26	20	69
1976804	25	10	17	16	64
135880	26	13	23	19	55
1249464	22	10	24	19	70
427695	31	12	21	15	54
4944794	20	10	16	12	62
952011	26	12	27	21	73
1294304	21	9	19	14	54
2835737	27	9	20	20	49
1141332_1	24	13	17	18	65
1141332_2	24	13	17	18	65
549694	25	10	17	20	52
4280292	17	11	20	15	52
1978820	27	11	25	19	65
317505	16	12	19	12	59
2608630	18	12	17	21	59
4892386_1	21	10	19	13	67
4892386_2	21	10	19	13	67
4892386_3	21	10	19	13	67
2149799	18	9	22	17	68
765721	21	13	24	12	69
4575643	23	9	17	24	57
1789610	28	11	19	18	64
405825	31	9	15	19	66
2356832	20	9	17	19	61
4896755	24	9	16	10	57
71188	19	9	19	16	51
4893879	23	11	20	10	63
5611668	25	9	20	14	44
4934417	15	9	18	17	71
5564079	25	9	13	17	52
5306765	27	9	20	23	53
5197591	22	10	23	21	71
1003191	18	11	14	14	47
1954581	24	11	19	15	62
1053110	13	9	27	13	66
790029	28	10	13	19	63
3476978_1	19	10	21	13	61
3476978_2	19	10	21	13	61
5240913	22	9	26	22	70
306284	27	11	20	16	52
