TARA_82	TARA_83	TARA_84	TARA_85
505022	58	9	47	13
4782670	73	13	51	17
4163222	82	10	47	17
2971093	65	10	45	11
2261311	85	9	46	14
5775946	67	12	47	13
4359671	65	9	44	16
2364856	67	11	54	17
3422168	70	10	46	17
5476360	71	11	46	17
2827876	78	10	41	17
1726265	68	9	55	13
6113784	67	10	48	16
5737813	74	10	44	12
1657522	64	9	42	14
3741560	62	11	45	15
1749064	62	9	41	18
2293759	60	9	43	11
5396963_1	70	12	51	16
5396963_2	70	12	51	16
3190653	80	12	51	15
3506275	82	12	50	15
1726356	62	12	44	20
3917730	58	10	45	12
5070378	59	10	51	15
3656251	63	9	52	15
1582276_1	62	12	45	18
1582276_2	62	12	45	18
4482118	78	10	39	17
5896164	67	12	51	14
4560662	61	10	44	20
5490890	62	11	43	19
5241072	75	12	44	14
4521668_1	59	10	44	19
4521668_2	59	10	44	19
3781868	63	10	46	13
3186748	69	10	47	10
5974273	74	10	49	17
5124356	77	9	42	13
1857462	73	9	45	14
938040	85	10	46	10
6581855	77	12	55	18
4248947	72	13	53	12
576251	64	10	42	18
5033255	81	9	50	19
3123175	67	10	53	17
3071950	61	11	43	19
4852883	59	10	47	14
6387674	60	10	45	11
6068163	80	9	43	16
4037103	70	9	46	20
2929600	68	13	46	16
6350098_1	80	10	52	20
6350098_2	80	10	52	20
1100446	76	11	53	19
5585248	76	11	44	19
3762774	69	10	44	12
942530_1	65	9	40	19
942530_2	65	9	40	19
5289765	74	10	49	20
6141464	78	11	50	18
3064365	83	9	51	12
1410451	70	10	49	15
4845883	58	9	44	11
2568118	72	10	42	18
4034554	76	13	50	17
4692487	79	11	50	16
1659280	75	10	40	15
3424611	75	11	46	15
2504818	74	10	49	16
6329079	73	10	51	19
4141582	60	10	49	10
3912649	77	11	53	17
4753741	75	10	46	15
5587688	69	9	51	15
3947593	76	12	51	14
4744550	70	11	48	20
348256	74	9	39	17
5427206_1	72	9	45	17
5427206_2	72	9	45	17
2443545	69	13	49	14
4331589	75	10	43	17
4173971	79	9	46	17
2897308	62	10	45	14
6125328_1	74	11	47	20
6125328_2	74	11	47	20
1058856	70	9	50	17
1170332	76	13	46	18
4549583	71	9	55	16
4573830_1	78	9	50	18
4573830_2	78	9	50	18
6020056	65	10	44	18
4850354	60	11	44	20
2620963	75	9	40	17
1751427	79	9	53	18
5542737	70	11	52	16
3849840	73	10	48	17
2554464_1	75	9	40	18
2554464_2	75	9	40	18
6265063	75	10	46	14
4382738	73	11	43	12
6146938	76	11	48	18
3156668	77	10	39	17
4103989_1	74	10	47	20
4103989_2	74	10	47	20
1852228	78	9	43	17
1081537_1	63	10	44	14
1081537_2	63	10	44	14
1081537_3	63	10	44	14
1606774	73	11	45	17
6154617	79	12	48	18
2438431_1	74	10	46	13
2438431_2	74	10	46	13
4443166	64	9	50	12
4027836	69	9	46	14
4627506	86	9	49	16
3601087	66	10	45	11
1422573	75	9	40	19
4295252_1	63	11	47	16
4295252_2	63	11	47	16
1392881	71	10	45	13
3659335	81	10	49	13
4560920	86	9	46	14
2921024	70	9	44	20
5979361_1	81	11	48	19
5979361_2	81	11	48	19
5979361_3	81	11	48	19
2392519	61	10	43	18
2103400	77	10	42	15
4638576	71	10	45	17
4493603	76	9	41	15
4845258_1	74	11	39	13
4845258_2	74	11	39	13
5354066	86	9	49	17
3937408	79	11	45	19
5494152	81	10	53	20
1720867	71	10	44	20
4843509	78	12	48	19
1470977	76	9	54	12
1907271	76	9	39	17
3680770_1	57	9	47	11
3680770_2	57	9	47	11
589598	76	11	52	20
3074275	79	10	55	18
839919	70	9	46	20
3357834_1	76	10	40	15
3357834_2	76	10	40	15
2036760	69	10	46	18
6150591	74	10	45	20
5650049	63	9	48	17
1082834_1	82	9	46	18
1082834_2	82	9	46	18
2262633	81	10	45	16
2101061	77	9	45	17
3690721	69	10	44	16
5202761	67	10	43	15
137100	65	12	45	15
4055481_1	64	10	53	19
4055481_2	64	10	53	19
5286366	80	11	50	20
2453243	79	10	43	17
6264730	79	11	46	19
6189357	73	9	53	18
4054002	76	11	40	17
1577933	58	11	46	12
6312131_1	76	11	47	17
6312131_2	76	11	47	17
3498261_1	78	10	42	16
3498261_2	78	10	42	16
5874664_1	57	11	50	15
5874664_2	57	11	50	15
4049469	67	10	45	20
3082448	78	11	52	19
5814657	87	9	47	16
4744719_1	79	11	48	19
4744719_2	79	11	48	19
3572660	68	13	54	15
4400328	78	12	48	19
4913092	69	11	48	16
1100679	80	9	42	17
4832950	59	9	42	13
2923964	78	12	51	14
3762342	71	13	44	19
1189070_1	63	10	45	20
1189070_2	63	10	45	20
3387085	65	9	46	20
5877169	64	10	52	13
1896141_1	63	10	43	17
1896141_2	63	10	43	17
6499898	76	10	44	15
2996966	73	10	41	14
4719224	74	12	50	17
3835867_1	62	11	47	17
3835867_2	62	11	47	17
6512838	60	13	44	14
5595726	71	12	44	16
3198689	69	12	48	17
2026767	63	12	42	12
4103515_1	61	13	47	14
4103515_2	61	13	47	14
992803	83	11	50	18
2568458_1	73	10	45	18
2568458_2	73	10	45	18
5973352	69	9	44	16
6439526	67	12	49	10
1682032	86	9	47	13
4404448	69	9	48	18
4813871	62	10	46	18
4704296_1	68	11	51	19
4704296_2	68	11	51	19
2405928	84	9	47	16
1548996	65	9	44	19
4786626	71	11	49	16
3495777	72	12	49	20
2858955	85	10	49	15
2223267_1	65	10	42	15
2223267_2	65	10	42	15
6315961	66	10	43	12
4697749	78	11	42	18
2983206	74	11	46	17
3572212	75	12	55	13
5967689_1	62	11	45	15
5967689_2	62	11	45	15
240458	76	9	41	14
6575030	65	10	43	19
5855543	57	10	41	14
4316225	63	9	44	11
1007230_1	73	12	47	14
1007230_2	73	12	47	14
864433	72	11	50	18
5877935	78	9	53	18
2931556	76	10	41	15
6427039	75	9	47	14
6278902_1	68	10	52	19
6278902_2	68	10	52	19
2284636	78	9	50	20
3702926	75	10	49	19
6468517	74	11	45	15
2649282	85	10	46	17
3605261	73	9	44	14
3005043	79	10	45	20
6266236	68	10	49	11
5315823	70	11	47	12
4591918	61	12	46	19
3859358	71	9	51	15
3220544	65	9	42	19
6174609	76	11	45	13
4488563	87	9	49	12
6602359_1	57	10	47	18
6602359_2	57	10	47	18
4387806_1	70	9	49	10
4387806_2	70	9	49	10
4387806_3	70	9	49	10
4018740_1	72	10	46	17
4018740_2	72	10	46	17
4412292	63	10	47	10
6404758	73	11	43	16
990168	78	13	48	18
156601	68	11	47	17
2423528	61	11	47	18
3877031	79	12	44	19
2787224	64	10	47	17
4102469	64	13	42	17
3114179	78	10	53	17
6214620	68	11	47	19
2529867	69	12	47	16
837552	79	10	52	18
6468099	82	13	53	15
1343816	74	11	46	15
4830284	79	9	49	19
2847314_1	81	12	53	16
2847314_2	81	12	53	16
3998941	72	11	52	18
6178415	70	9	49	18
2751205	77	9	44	18
3676346_1	78	11	53	20
3676346_2	78	11	53	20
3676346_3	78	11	53	20
2992174	73	9	40	19
5910361	75	11	49	18
4877338	59	10	48	17
4258319	73	10	52	19
1365052_1	74	13	54	17
1365052_2	74	13	54	17
1365052_3	74	13	54	17
5009035	80	10	46	14
2436840	68	12	51	20
3741536	76	12	47	16
4075385	74	13	52	20
4562763	62	9	44	15
4709102_1	62	12	45	13
4709102_2	62	12	45	13
2377561	64	9	42	14
2388493	70	10	51	13
5753757	68	9	51	17
2328538_1	64	11	44	14
2328538_2	64	11	44	14
585201	72	10	39	16
3089469	80	9	49	20
4257539	73	11	45	14
3295885_1	75	9	40	14
3295885_2	75	9	40	14
3295885_3	75	9	40	14
4038225	63	9	41	14
3754078	78	9	50	19
5896412	77	13	50	18
3612715_1	61	10	44	17
3612715_2	61	10	44	17
3612715_3	61	10	44	17
6132369	68	9	45	20
5831227	87	9	52	13
5083791	67	12	50	13
3953042	76	10	48	15
2944298	77	9	41	17
3920001	67	10	42	19
1073854	59	9	49	16
6570770	68	11	49	18
2485790	75	11	41	15
2064598	66	9	53	17
4012962	63	13	49	12
2371317	72	11	43	14
2126802	77	10	53	14
3371811	68	9	50	17
2862648	76	13	42	14
2330132	77	10	51	16
4274106	62	10	47	16
2432432	64	12	43	16
4152956	87	10	48	15
3363961	67	13	49	12
3618570	63	11	54	18
619732_1	60	13	47	15
619732_2	60	13	47	15
4077230	73	11	39	11
877304	81	9	50	14
2284821	59	10	42	13
2324494	68	10	47	16
1503025	70	13	51	19
1574900	68	11	48	17
3518765	65	9	46	19
6534610	69	9	52	20
6304101	63	11	42	13
4406853	84	9	51	18
6117557_1	62	12	51	14
6117557_2	62	12	51	14
4612808_1	64	13	55	14
4612808_2	64	13	55	14
3516690	71	12	41	12
2972108	57	10	47	12
4131619	79	11	55	15
6021654_1	71	11	46	16
6021654_2	71	11	46	16
4792650	72	10	50	15
4603669	78	13	52	19
6293930	62	9	43	12
4419034	75	10	48	17
6168387	80	10	52	16
5876045	61	11	49	18
6423825	85	11	48	14
1520723	65	9	48	18
3521795	81	12	45	20
3379665	65	10	47	17
2572274_1	73	10	55	15
2572274_2	73	10	55	15
4054832_1	80	12	47	13
4054832_2	80	12	47	13
1412062	80	9	44	13
6548154	69	9	43	13
3991081_1	71	9	53	16
3991081_2	71	9	53	16
3540810	58	10	44	11
3913154	66	11	44	13
4362094	65	9	43	13
3771121	74	11	48	17
1758608	59	9	44	12
5989573	67	11	54	16
3020253	65	10	53	19
6556603_1	72	12	52	17
6556603_2	72	12	52	17
3934679	76	9	39	14
5406513	79	9	51	16
3088140	65	11	42	17
6438482_1	81	9	48	17
6438482_2	81	9	48	17
4652637	68	10	55	17
3314272	75	11	54	19
4345558	77	11	54	15
6157849	67	10	53	13
3250195	78	9	47	16
3656386	64	9	44	15
4313190	82	9	52	14
2892431	78	12	49	17
2965647	63	10	51	15
4351926	74	11	39	12
6516987	73	9	43	15
6407128_1	77	12	44	13
6407128_2	77	12	44	13
2379432	76	10	50	11
3464429	81	9	53	15
3807000	72	9	49	17
5863735	75	10	42	19
6560451	79	13	50	13
3230337	83	9	43	13
3405505	79	9	45	16
1678538	57	10	47	12
3485538	73	9	54	15
2652855	68	12	53	18
2339893	73	12	47	15
3789864_1	69	10	52	19
3789864_2	69	10	52	19
1950720	71	10	41	11
2947348	67	10	48	11
6183586	73	9	42	17
1435228	57	9	43	14
5725653_1	74	9	54	19
5725653_2	74	9	54	19
5725653_3	74	9	54	19
6602625_1	84	9	48	14
6602625_2	84	9	48	14
3517372	79	9	55	19
4160308	68	10	43	12
3001739	72	9	55	16
2783949	78	10	53	14
4871796	80	11	51	11
5089274	67	10	46	13
3696589	58	11	46	14
6566954	76	9	45	14
6534337_1	73	11	46	16
6534337_2	73	11	46	16
4812377	81	11	54	18
4792879	81	10	44	12
4510126	73	13	48	17
962572	75	12	42	17
6363299	57	11	47	16
1328751	75	10	45	13
1743428	70	12	52	17
2086055	63	10	43	16
4630205	70	10	45	13
2492838	63	11	46	13
6530315	69	12	55	17
6440388	74	13	44	19
2204949	70	12	48	15
6301562	69	9	55	19
2877119	80	10	48	14
3764372	65	12	43	13
6464462_1	72	13	53	15
6464462_2	72	13	53	15
4792659_1	70	11	47	11
4792659_2	70	11	47	11
4792659_3	70	11	47	11
4392043	77	9	40	12
3642243	68	11	47	15
1698712	65	10	53	18
4468413	74	13	43	12
3865040	66	9	47	13
1620066	62	9	46	11
6391847_1	65	12	51	14
6391847_2	65	12	51	14
3886234	73	11	45	17
2074038	80	11	52	15
2428392	76	11	51	15
3007133	67	11	50	16
6283038	65	13	45	12
6472305	73	11	53	19
5399059	58	11	50	12
3296814	70	9	51	13
6552334_1	74	10	47	18
6552334_2	74	10	47	18
4647433	60	9	48	20
3074273	65	11	52	16
4352864	73	10	49	14
4789764	57	11	46	11
2405251	65	10	45	10
3855903	78	10	46	12
4881063	77	10	44	12
4274687_1	80	9	55	19
4274687_2	80	9	55	19
4546451	60	10	46	16
5399004	79	9	44	12
5852147_1	64	9	44	15
5852147_2	64	9	44	15
2997437	71	10	53	14
966808	78	10	52	15
5223496	78	13	51	14
3783827	67	11	50	15
4547139	59	9	44	17
3944312_1	72	12	55	15
3944312_2	72	12	55	15
1574292	70	12	53	18
6605669	71	12	44	18
1935312	72	11	50	12
705239	74	10	40	14
129598	80	13	49	12
3312582_1	72	10	47	13
3312582_2	72	10	47	13
4644004	66	11	45	16
619994_1	84	9	50	19
619994_2	84	9	50	19
3532746_1	75	11	42	16
3532746_2	75	11	42	16
6313764	77	13	52	13
6395029_1	75	9	43	16
6395029_2	75	9	43	16
3486970	66	10	54	14
4071215_1	77	11	51	14
4071215_2	77	11	51	14
6494179	80	10	50	14
6312133_1	81	9	50	16
6312133_2	81	9	50	16
6312133_3	81	9	50	16
1864784	69	12	51	15
3382697	67	9	45	15
2566067	77	11	43	14
4121108	62	13	53	15
4272487	69	10	39	12
3342358	68	10	49	11
3831677	62	10	49	15
3709057	68	9	54	10
2996331	72	10	49	20
3306275	64	10	50	15
6154474_1	76	12	39	16
6154474_2	76	12	39	16
5836431	74	9	42	14
3773228	75	12	48	17
4213551_1	78	9	49	18
4213551_2	78	9	49	18
4213551_3	78	9	49	18
6541761_1	60	9	45	11
6541761_2	60	9	45	11
6315030	65	9	41	16
3204415	73	10	50	14
3852488_1	77	11	54	16
3852488_2	77	11	54	16
4828908	63	9	43	19
6455952_1	57	10	41	15
6455952_2	57	10	41	15
2441977	73	10	46	14
2932027	71	10	50	14
900778	64	11	51	16
6514052_1	66	10	43	15
6514052_2	66	10	43	15
6372371	63	11	47	13
3566765_1	80	10	49	10
3566765_2	80	10	49	10
1630028	80	9	46	20
3845048	79	10	50	10
2993293	72	12	46	17
570098	71	12	50	12
3080993_1	70	10	51	19
3080993_2	70	10	51	19
3512457	64	9	53	13
4292181	65	11	48	13
2784184	79	9	47	10
1101073_1	67	11	54	15
1101073_2	67	11	54	15
6557078_1	70	12	49	14
6557078_2	70	12	49	14
1679489_1	78	10	52	14
1679489_2	78	10	52	14
1342736	61	9	50	13
1656051	72	11	48	11
1679715	76	9	47	14
3292348	70	13	45	16
5654187	61	11	46	16
4703399	63	13	50	15
2865150	75	12	43	11
2086575_1	64	9	50	11
2086575_2	64	9	50	11
3490062_1	77	11	42	14
3490062_2	77	11	42	14
3490062_3	77	11	42	14
2846910	70	9	48	13
4845336	70	9	48	12
3392576	68	9	50	14
5973146	81	9	50	14
895850	73	12	40	13
1373896	74	10	46	18
6102120	77	11	49	19
5946725	70	9	51	15
1630917_1	81	11	50	12
1630917_2	81	11	50	12
1065605	73	9	54	15
353677	76	10	50	15
5906772	74	12	45	14
922074	58	9	48	10
4502210_1	80	11	51	16
4502210_2	80	11	51	16
6039513	76	13	40	15
5296013	67	13	52	15
5392957	87	9	45	13
4712552	66	11	44	11
4808148	79	9	55	15
5119054	70	9	47	17
2662515	62	11	47	14
4103504	62	12	48	10
1647863	64	10	48	11
5833205	69	10	46	18
1470565	63	12	53	15
1062698_1	75	9	53	12
1062698_2	75	9	53	12
4263412	64	10	49	15
5675369	58	12	48	10
3411218_1	73	11	40	14
3411218_2	73	11	40	14
4558565	60	11	47	15
3112967	74	11	47	13
3657040	66	9	49	10
1084587	75	10	52	12
3464076	65	10	55	17
1944908	78	10	51	14
4159250	68	9	54	14
2898033	80	10	48	15
3978227	75	9	48	14
380530	75	9	49	13
3947459_1	76	10	39	11
3947459_2	76	10	39	11
5075202_1	73	13	53	15
5075202_2	73	13	53	15
5075202_3	73	13	53	15
2161712	80	11	55	18
4706697	87	10	51	14
4437875_1	59	9	46	12
4437875_2	59	9	46	12
6585163	75	13	41	13
6565774	71	11	47	11
2780718	67	12	54	12
2524844_1	74	12	52	16
2524844_2	74	12	52	16
2524844_3	74	12	52	16
821576	66	10	54	14
6179475	76	9	55	14
6197939	63	11	49	12
4567080	74	9	54	18
2261865_1	68	10	53	13
2261865_2	68	10	53	13
3580757	72	9	45	16
3245374	64	13	51	16
889341	74	11	45	13
3319161_1	71	13	54	13
3319161_2	71	13	54	13
3319161_3	71	13	54	13
5197657	64	12	53	16
3519152	67	11	45	10
2600304	80	9	52	16
5081281_1	78	11	44	19
5081281_2	78	11	44	19
3774090	61	9	43	18
1082463	72	10	42	11
5465040	72	12	52	14
3142808	69	9	51	11
547797	57	9	45	11
4806814	62	9	42	11
1330225	75	12	48	14
4823470	72	11	47	12
5847629	63	10	48	14
2666748	66	9	44	12
2237317	79	9	48	18
3501765	82	9	53	15
4690141	65	11	50	12
1746346	80	11	47	13
4152883	61	12	43	16
