TARA_142	TARA_143	TARA_144	TARA_150	TARA_151	TARA_70	TARA_76	TARA_80
5674759	11	22	13	15	20	40	14	14
1319126	9	15	12	11	13	26	13	10
359282	11	22	13	11	14	23	18	10
2354244	11	22	9	11	17	28	14	10
2245599	11	20	10	14	19	22	16	14
3151821	10	15	11	12	18	49	27	9
6459987	9	13	12	11	18	28	23	10
1348512	11	15	13	9	18	29	19	9
2877139	9	24	13	11	25	41	19	9
5688613_1	11	25	13	16	13	39	14	9
5688613_2	11	25	13	16	13	39	14	9
4771684	10	14	11	9	17	30	18	11
6133117	13	31	15	12	19	34	19	15
6983350	11	23	9	10	10	31	23	15
2471156	12	18	14	9	23	44	15	10
1360226	13	24	14	10	19	48	22	11
7107781_1	11	18	11	9	15	39	20	15
7107781_2	11	18	11	9	15	39	20	15
7060685	12	22	12	9	17	39	21	15
6747749	13	16	11	11	16	50	15	11
4147812	9	24	12	10	19	27	23	10
2100445	10	24	15	16	10	39	19	14
5500675	14	29	10	12	23	31	18	11
537514	10	27	9	9	24	35	17	9
5266927	12	25	10	11	12	29	18	12
6648237_1	9	26	11	13	18	21	18	11
6648237_2	9	26	11	13	18	21	18	11
4146456	10	20	12	14	16	49	21	14
2680702	11	26	14	12	23	36	20	12
377157	13	25	16	13	11	44	17	10
4929609	15	16	12	10	15	24	20	13
2243497	12	30	10	11	24	38	18	16
2920927	9	29	10	13	19	36	18	14
5113256	11	26	13	12	18	38	19	15
4531299	11	20	10	10	19	32	17	10
440349	15	18	12	11	22	44	12	11
1402907_1	10	24	12	15	20	26	20	14
1402907_2	10	24	12	15	20	26	20	14
3618776	10	14	10	10	17	28	15	16
3116679	9	26	17	14	24	47	20	15
3988768	10	27	11	10	22	25	10	10
4668538_1	9	19	17	16	18	33	17	10
4668538_2	9	19	17	16	18	33	17	10
6964627	13	19	9	11	11	27	17	10
7116467	15	17	13	9	19	36	20	16
4549336_1	9	24	13	9	17	29	21	9
4549336_2	9	24	13	9	17	29	21	9
4646153	11	22	15	9	20	43	18	9
2325823	11	24	12	11	16	25	17	10
7054816_1	16	24	10	9	13	35	26	9
7054816_2	16	24	10	9	13	35	26	9
4027942	14	27	11	11	15	42	23	9
5026688	9	23	10	10	13	30	20	10
3486952	9	25	14	10	17	41	17	13
6754143	9	16	9	11	16	33	21	16
6001411	13	19	10	10	16	33	12	10
3456655_1	9	23	12	12	17	25	14	13
3456655_2	9	23	12	12	17	25	14	13
2737531	11	20	13	13	20	37	21	9
1488384	12	27	12	11	20	47	24	10
6482710	11	20	11	14	16	42	18	11
1540293	12	24	12	11	16	40	27	16
6549417	10	23	17	10	15	38	24	11
1159197	10	20	9	9	24	39	25	10
6098251	11	21	14	10	15	32	12	12
6155045	13	27	16	12	17	39	13	12
1588092	16	21	9	13	24	34	22	11
5980472	11	22	16	13	20	39	19	13
3895253	13	23	12	12	19	26	15	12
5170939	11	24	11	14	18	27	20	13
781869	14	25	17	11	22	34	15	9
6090529	11	28	11	15	20	39	24	11
5875013	11	27	15	11	15	22	13	10
3759684	11	19	11	11	14	44	24	12
4701992	9	23	9	10	22	31	18	14
7125925	13	19	10	13	9	45	21	14
2275818	10	26	10	11	18	24	15	14
1050078	10	25	9	9	16	35	16	13
5036587	10	20	11	13	12	29	21	14
4322294	13	25	11	13	21	50	21	14
3508899	13	19	10	11	15	43	24	10
5518914	12	28	11	13	21	37	19	13
5743773	16	28	15	11	24	27	16	9
484613	10	23	14	12	14	39	22	13
