TARA_142	TARA_143	TARA_144	TARA_150	TARA_151	TARA_70	TARA_76	TARA_80
5674759	0.181818181818182	0.227272727272727	0	0	0.25	0.05	0.0714285714285714	0.0714285714285714
1319126	0	0.0666666666666667	0.583333333333333	0	0.0769230769230769	0.192307692307692	0	0.2
359282	0	0.318181818181818	0.384615384615385	0.272727272727273	0.857142857142857	0.304347826086957	0.333333333333333	0.3
2354244	0.727272727272727	0.636363636363636	0.888888888888889	0.909090909090909	1	0.928571428571429	0.642857142857143	0.4
2245599	0.545454545454545	0.95	0.6	0.5	0.736842105263158	0.863636363636364	0.4375	1
3151821	0	0.2	0.272727272727273	0.166666666666667	0.5	0.102040816326531	0.185185185185185	0.222222222222222
6459987	1	1	0.916666666666667	1	0.888888888888889	1	0.652173913043478	1
1348512	0.272727272727273	0.6	0.692307692307692	1	0.388888888888889	0.517241379310345	0.368421052631579	0.777777777777778
2877139	1	0.875	1	0.636363636363636	0.88	0.682926829268293	0.684210526315789	1
5688613_1	0.636363636363636	0.36	0.307692307692308	0.4375	0.384615384615385	0.692307692307692	0.571428571428571	0.888888888888889
5688613_2	0.636363636363636	0.36	0.307692307692308	0.4375	0.384615384615385	0.692307692307692	0.571428571428571	0.888888888888889
4771684	0	0	0.363636363636364	0.444444444444444	0.294117647058824	0.433333333333333	0.277777777777778	0.363636363636364
6133117	0.384615384615385	0.548387096774194	0.666666666666667	0.416666666666667	0.578947368421053	0.558823529411765	0.526315789473684	0.0666666666666667
6983350	0.727272727272727	0.652173913043478	0.666666666666667	0.5	0.5	0.290322580645161	0.826086956521739	0.4
2471156	0.333333333333333	0.444444444444444	0.928571428571429	0.444444444444444	0.260869565217391	0.340909090909091	0.666666666666667	0.3
1360226	0.538461538461538	0.75	0.428571428571429	0.5	0.315789473684211	0.5625	0.409090909090909	0.454545454545455
7107781_1	0.181818181818182	0.444444444444444	0.0909090909090909	0.111111111111111	0.133333333333333	0.307692307692308	0.55	0.333333333333333
