TARA_146	TARA_147	TARA_148	TARA_149	TARA_70
1271252	9	27	40	17	24
2641620	14	14	40	14	18
1902194	9	16	29	16	37
1242328	10	14	34	25	31
1111079_1	11	23	36	31	39
1111079_2	11	23	36	31	39
1111079_3	11	23	36	31	39
1651958	12	29	52	20	20
696542	13	14	42	32	51
2399406_1	9	15	26	35	32
2399406_2	9	15	26	35	32
2576693	9	16	25	19	29
1758323	11	29	51	23	38
1690493	10	12	26	17	27
1307974	10	16	31	20	38
2692684	9	16	38	20	49
1147561	9	13	19	21	20
1248331	16	17	31	17	25
718615	14	17	24	30	13
2159147	9	14	24	28	24
1392284	10	17	24	10	17
2914654_1	9	10	26	26	25
2914654_2	9	10	26	26	25
2330340	12	26	33	9	33
1703525	13	16	34	30	32
1302979	12	20	32	22	28
1819225	16	15	37	20	25
1835138	9	13	21	9	30
985412	13	18	22	33	42
366793	16	24	52	18	17
877056_1	10	10	19	23	26
877056_2	10	10	19	23	26
636862	10	14	34	26	40
2548498	11	19	38	31	30
2881554	9	16	24	26	17
1699219	13	17	40	14	17
1892882_1	11	12	28	12	30
1892882_2	11	12	28	12	30
1354074_1	10	25	35	25	18
1354074_2	10	25	35	25	18
839346	11	15	24	25	33
243076	13	15	21	19	13
2066818	9	12	33	15	35
1282863	11	22	25	15	41
2930282_1	11	11	19	20	25
2930282_2	11	11	19	20	25
611909_1	10	13	16	18	41
611909_2	10	13	16	18	41
597007	10	9	19	33	25
95458	11	29	45	23	20
2168438	9	15	13	24	23
2449093	14	11	38	35	46
1752245	11	29	43	18	43
2851440	9	20	37	14	19
1651192	12	13	26	15	12
2469330	12	15	35	13	26
539535	10	12	12	12	17
589274	9	14	25	27	44
1477762	12	24	39	21	26
178037	11	12	11	12	16
1714941_1	10	10	31	18	16
1714941_2	10	10	31	18	16
2821946	11	14	17	14	19
2884676	9	20	40	29	36
582574	10	20	44	21	30
2880824_1	9	19	52	20	31
2880824_2	9	19	52	20	31
2880824_3	9	19	52	20	31
839020	10	14	17	17	19
410586	9	22	22	23	25
1860713	13	26	43	19	36
2718927	15	22	34	11	33
841083	12	23	52	21	38
820002_1	10	13	26	16	50
820002_2	10	13	26	16	50
820002_3	10	13	26	16	50
2298334	9	18	27	29	35
1137485	11	22	30	26	30
2127649	16	28	54	18	37
195963	13	18	20	10	15
2061996	10	23	39	33	36
2104617	16	19	22	11	13
1773261	9	14	27	20	38
1548741	10	22	42	20	30
1237822	10	24	47	25	38
140620	10	26	48	23	17
2051647_1	14	15	43	22	39
2051647_2	14	15	43	22	39
2051647_3	14	15	43	22	39
2736419	9	12	17	27	18
2884561	11	19	32	35	41
51236	10	17	36	18	27
2442286_1	14	16	25	18	33
2442286_2	14	16	25	18	33
1691767	12	23	30	30	22
1684566	11	23	43	19	20
352369	11	14	15	21	18
1635889	9	15	39	13	46
1707984	14	25	34	22	45
341708_1	9	19	34	28	36
341708_2	9	19	34	28	36
341708_3	9	19	34	28	36
1053509	13	20	27	16	17
1261155	9	21	24	14	19
2770862	13	30	47	9	38
1260508	9	10	27	25	28
1743758	10	19	43	18	45
522555	9	18	22	34	31
952053	9	21	30	27	24
1421102	13	16	34	19	46
2450579	12	29	49	19	22
2011182	15	23	34	9	25
1345272	9	18	30	24	32
2086735	11	17	22	25	21
1537696	13	21	39	21	38
865779	9	13	46	23	39
1757466	10	11	23	13	35
2548850	12	10	25	22	24
143876_1	11	30	36	11	26
143876_2	11	30	36	11	26
538372	9	22	30	22	19
789678_1	12	13	43	22	38
789678_2	12	13	43	22	38
1550617	10	16	22	19	44
2824228	12	21	36	15	28
1448828	9	16	28	20	44
1374478_1	9	21	19	13	20
1374478_2	9	21	19	13	20
352255	10	19	20	19	33
2021773	13	24	34	20	39
2073749	13	20	21	11	24
1781355_1	12	14	37	34	46
1781355_2	12	14	37	34	46
2024685	11	19	46	25	44
2173060	10	18	36	9	23
587751	10	30	42	13	30
2635172	10	17	26	20	45
1480082	13	24	28	16	27
680665_1	11	23	47	17	37
680665_2	11	23	47	17	37
2817328	12	29	53	17	23
1734805	10	16	24	35	45
1889974	9	16	41	18	35
2097957	17	21	44	20	39
901236	10	20	35	25	49
2163074	10	20	28	15	37
1616352_1	13	20	39	22	33
1616352_2	13	20	39	22	33
1616352_3	13	20	39	22	33
1920679	14	30	41	20	41
1746830	17	17	34	15	28
1434536	14	20	54	23	47
577410	10	16	38	24	27
2150756	12	14	35	31	42
1047508	10	17	23	19	26
1683009	9	11	24	12	33
140775	15	11	20	18	22
1748625_1	9	16	36	15	37
1748625_2	9	16	36	15	37
2017795	17	10	35	16	30
286265	11	14	23	15	13
1305951	15	14	21	9	16
2923858	9	18	37	20	50
2674149	16	14	22	20	20
1595228	14	22	23	13	34
1705484	10	15	30	23	30
2133719	14	27	49	10	41
1064659	11	17	30	12	33
2493367	9	11	29	21	20
1268774	16	15	24	26	30
2553656	12	18	24	24	17
599025	10	26	41	18	24
2733671	12	17	19	10	26
2046466	11	16	21	22	34
978884	9	15	20	13	21
648299	9	18	30	20	26
1257587	9	26	45	16	40
689368	11	13	26	19	21
1090198	12	17	38	29	45
1298271	12	23	35	22	34
1735846	9	9	27	15	14
734359	11	23	42	19	37
199083	12	23	52	30	36
2816678	9	19	22	15	14
859080	11	20	25	19	31
2167088	15	19	41	10	21
2779745	11	23	37	18	17
1089902	9	27	48	19	31
1322358	14	29	49	23	24
2030080	12	27	39	11	23
427869	13	15	25	9	15
2201784	13	14	32	14	23
2139053	9	22	23	24	21
2157404_1	9	14	32	32	42
2157404_2	9	14	32	32	42
2358992	9	24	48	20	29
2126318_1	12	25	42	24	39
2126318_2	12	25	42	24	39
1471963	13	10	26	13	33
1521931	10	26	38	18	43
2580547	11	15	18	22	19
1305229	11	23	34	26	23
2876259	9	18	28	35	48
1356214	13	26	44	20	24
2590043	10	15	37	20	35
2682250	9	22	38	17	14
2073637	10	23	25	12	37
1494424	13	16	24	35	46
1989574	10	19	26	15	29
1392804	13	20	42	23	22
1684799	10	14	28	13	31
1506361	9	17	22	22	29
1233640	10	17	40	13	41
1508861	10	17	25	9	11
1449891	10	18	42	11	26
228225	13	19	34	11	30
1652854	12	28	45	17	30
2139944	15	12	36	11	28
1693198	9	18	36	15	15
1384032	13	17	13	9	30
1145135	10	14	14	10	24
2119765	11	26	31	17	13
1614819	11	27	53	10	41
785610	10	28	44	20	42
911661	10	26	41	22	24
2836211	12	28	38	18	26
1897577	12	21	32	12	33
682525	15	20	36	15	47
1399896	9	14	21	15	36
1077285	13	30	52	23	39
979676	9	25	25	20	26
1838107	11	29	51	13	20
2871264	15	26	26	13	28
1053360	10	13	25	10	12
713768	11	17	26	19	26
2420421_1	16	27	39	21	28
2420421_2	16	27	39	21	28
2420421_3	16	27	39	21	28
840010	11	23	24	11	18
1556013	13	26	54	14	33
2041129	12	27	34	11	40
629050	10	13	17	20	20
1350154	9	15	32	28	17
1526972	11	15	27	28	38
945646	12	29	39	14	24
1614512_1	11	12	36	22	41
1614512_2	11	12	36	22	41
1442775	10	20	41	19	23
605857	11	27	52	13	44
2172907	10	22	41	19	35
827338	12	14	48	19	38
690331	12	21	39	13	18
2826179	11	30	46	10	41
1669462	12	24	36	30	35
1324333	12	20	39	17	32
1556921	14	25	47	16	28
346895	11	24	32	9	22
1761964	9	21	39	15	48
1906639	9	25	42	16	37
1581142	9	12	40	11	20
2472743	9	18	30	10	23
308515	17	30	53	25	47
2059129_1	13	24	27	13	31
2059129_2	13	24	27	13	31
436191	11	19	34	22	43
2105053	13	25	46	25	35
2083463	12	16	25	18	22
1494518	11	20	30	17	44
1703903	13	19	48	23	39
1711978	17	28	52	11	36
324415	10	12	44	14	39
783885	9	15	34	15	44
2688267	9	27	46	22	46
1139721	13	20	36	33	47
645878	12	21	34	17	18
2212515	11	18	32	13	36
295200	11	15	31	17	34
2223461	13	23	42	31	41
2894202	15	30	54	26	45
829466	10	16	22	27	26
2030174	11	18	31	10	28
542173	9	19	28	11	40
1088104	11	20	43	12	48
1037249	9	18	42	18	27
1586463	12	23	52	25	37
1686442	10	15	31	19	48
2733790	10	15	37	18	36
2329391	9	26	36	13	46
1586318	10	21	47	11	27
1028705	11	22	46	19	33
922508_1	9	16	30	16	41
922508_2	9	16	30	16	41
690359	9	22	29	13	30
1387256	13	21	51	11	36
285269	16	25	48	24	44
1576159	12	25	46	14	35
812782	11	24	42	19	41
2910540	12	15	37	10	25
833670	9	20	45	19	41
947568	17	23	52	23	44
2826807	12	16	28	19	36
2890806	9	19	50	20	40
2054645	9	20	35	24	42
1529687	17	30	54	18	39
1779288	11	18	30	22	42
2100796	12	25	46	13	22
1617880	13	19	28	27	25
530115	11	20	37	25	36
2737782	15	11	31	21	15
2610625	10	26	36	16	39
935057	9	18	39	17	22
1562543	10	18	29	27	36
1660828	13	25	31	11	26
2645164	13	18	34	16	18
1841688	16	29	47	27	48
1882582	14	18	35	20	37
2516793	13	25	23	11	39
2347821	12	27	48	24	16
1248568	17	22	37	20	34
2194985	15	23	49	30	41
93789	12	21	35	14	25
2186730_1	16	22	41	15	37
2186730_2	16	22	41	15	37
1831788	10	15	38	14	33
1821534	17	28	52	25	43
2180917	11	30	43	22	29
711072	10	26	33	15	34
2906975	9	17	32	12	35
2097188	10	19	40	22	50
851905	9	29	35	28	41
1172416_1	12	24	45	16	38
1172416_2	12	24	45	16	38
1442895	9	27	44	10	31
2940331_1	9	16	35	12	25
2940331_2	9	16	35	12	25
700927	13	26	38	16	27
1879357	16	24	40	20	37
2548762	10	17	39	30	29
660513	9	18	38	17	49
865722	14	18	41	14	32
1562604	9	13	36	11	31
2140871	10	26	53	19	20
2635817	11	20	40	16	35
2441437	10	29	34	18	32
758270	13	23	52	25	36
946051	16	24	40	14	41
2518281	12	18	39	24	39
2195212	14	19	36	9	26
2922949	11	25	51	27	37
723340	14	21	32	9	36
312382	11	22	27	19	40
665054_1	10	24	52	13	44
665054_2	10	24	52	13	44
665054_3	10	24	52	13	44
2387719	9	23	39	19	20
115215	9	23	44	30	33
1594266	17	27	44	18	41
1745662	14	23	30	13	47
587483	13	23	39	28	48
1162198	13	18	25	17	31
217763	16	27	49	20	20
1896929	10	17	52	25	40
1122803_1	9	30	44	15	41
1122803_2	9	30	44	15	41
