TARA_150	TARA_152	TARA_68	TARA_70	TARA_83
938327	0	0	0	0	1
902562	1	1	1	1	0
888362	0	0	0	0	1
6598908	0	0	0	0	1
6593962_1	0	0	0	0	1
6593962_2	0	0	0	0	1
6557623	0	0	0	0	1
6526330	1	1	1	1	0
6521150	1	1	1	1	0
6505549	1	1	1	1	0
6456435_1	0	0	0	0	1
6456435_2	0	0	0	0	1
6435862	1	1	1	1	0
6409731_1	1	1	1	1	0
6409731_2	1	1	1	1	0
6390043	1	1	1	1	0
6380051	0	0	0	0	1
6367286	1	1	1	1	0
6310179	0	0	0	0	1
6273724	0	0	0	0	1
6252703_1	0	0	0	0	1
6252703_2	0	0	0	0	1
6234895_1	0	0	0	0	1
6234895_2	0	0	0	0	1
6208592	0	0	0	0	1
6110782	1	1	1	1	0
6088927	1	1	1	1	0
6061579	1	1	1	1	0
5941719	0	0	0	0	1
591131_1	1	1	1	1	0
591131_2	1	1	1	1	0
5845950	1	1	1	1	0
5688301	1	1	1	1	0
5679514	1	1	1	1	0
5652359	0	0	0	0	1
5538740	0	0	0	0	1
5529690	0	0	0	0	1
5495960	0	0	0	0	1
5409488	0	0	0	0	1
5392845	1	1	1	1	0
4760467	0	0	0	0	1
474670_1	0	0	0	0	1
474670_2	0	0	0	0	1
4699651	0	0	0	0	1
4667071	1	1	1	1	0
4637249	0	0	0	0	1
4620563	0	0	0	0	1
4586459	0	0	0	0	1
4531660	1	1	1	1	0
4367796_1	0	0	0	0	1
4367796_2	0	0	0	0	1
4367796_3	0	0	0	0	1
4365863	1	1	1	1	0
4330550_1	1	1	1	1	0
4330550_2	1	1	1	1	0
4330550_3	1	1	1	1	0
4245229	0	0	0	0	1
4192474	0	0	0	0	1
4192113	0	0	0	0	1
4120329	0	0	0	0	1
4084766	1	1	1	1	0
4025993	1	1	1	1	0
4003908_1	1	1	1	1	0
4003908_2	1	1	1	1	0
4001429	1	1	1	1	0
3798935_1	0	0	0	0	1
3798935_2	0	0	0	0	1
3765331	0	0	0	0	1
3738833	0	0	0	0	1
3673653	1	1	1	1	0
3610989	1	1	1	1	0
3464048	0	0	0	0	1
3440449	1	1	1	1	0
3398647	0	0	0	0	1
3394633	0	0	0	0	1
3367879	0	0	0	0	1
3211253	1	1	1	1	0
3209171	1	1	1	1	1
3014554_1	0	0	0	0	1
3014554_2	0	0	0	0	1
