TARA_142	TARA_143	TARA_144	TARA_149	TARA_151
1449610	21	48	44	16	10
2837158	27	31	43	14	10
4224324	19	44	45	9	12
4217624	15	38	27	9	18
6431368	19	34	36	19	16
3895091	18	32	32	10	15
2495944	26	46	41	9	17
1367172	15	36	29	11	10
2074020	16	39	35	12	9
5417711	18	31	34	9	9
190815	28	47	39	14	9
3114250	22	40	35	9	11
3052104_1	26	45	37	14	16
3052104_2	26	45	37	14	16
3574848	16	40	35	17	13
5104395	17	45	38	11	10
3668778	21	39	46	16	11
64500	15	40	43	10	15
900597	25	36	35	12	11
1258071	32	47	39	17	12
677815	21	37	31	13	10
1120930	24	30	34	18	9
4551572	23	48	39	14	12
870500	19	44	45	15	12
545805	22	32	34	19	11
1020642	26	30	40	15	9
2426539	19	33	29	9	11
897939	24	43	41	10	17
1333889	26	43	36	13	12
3408033	28	47	41	13	14
1006595	22	35	29	17	15
6564941	19	42	34	13	11
2112173	17	32	36	9	10
7077231	24	37	37	20	11
5710638	27	39	37	15	19
6556632	28	52	39	21	15
245562_1	23	43	32	15	14
245562_2	23	43	32	15	14
1742323	15	44	41	14	19
6367572	29	45	32	14	12
1421799	27	35	42	15	11
4336282	24	49	38	15	9
6827163	26	34	35	19	11
1864722	23	42	37	15	12
5624034	20	39	45	20	15
78916	24	35	27	13	10
1515247	24	33	29	14	10
1463050	20	33	26	10	14
4713016	16	49	48	14	11
6991577	21	35	31	15	12
4614295	27	47	48	19	12
6578688	27	43	41	13	11
4007714	22	46	40	16	13
5284683	26	39	32	9	11
2598163	22	33	40	16	10
6823195	23	49	40	18	9
5873332	14	42	34	13	13
6143405_1	23	49	47	14	16
6143405_2	23	49	47	14	16
7122596_1	26	47	34	15	18
7122596_2	26	47	34	15	18
6045971	18	38	44	11	11
1237274	28	41	36	15	9
3859984	23	45	47	18	14
5183377_1	15	33	26	9	12
5183377_2	15	33	26	9	12
3109400	17	37	28	10	14
4729831	29	50	38	20	14
2705989	19	40	39	13	12
1440409	20	33	32	12	11
535824	22	46	27	13	11
3963390	21	32	31	14	13
4250272_1	31	44	43	10	9
4250272_2	31	44	43	10	9
6934993	17	33	32	11	12
1050175	25	30	30	9	11
3400063	29	40	34	9	12
7030989	23	32	35	13	14
3226099	31	47	49	13	13
1173948	16	40	33	12	11
68437	24	45	41	13	17
332656	21	42	42	15	12
1584973	18	46	41	11	19
5769182	30	45	41	12	11
2257604	20	46	37	20	16
6695219	32	47	34	12	17
259156	18	40	39	20	12
1167638	15	43	29	10	13
1332106	15	46	41	11	17
5336267	25	54	41	16	11
802878	16	39	34	12	16
5568959	26	42	44	16	12
1553745	27	47	39	17	14
2622801	22	47	43	11	15
3902343	18	33	32	18	12
6867007	25	37	27	17	12
5631989	22	50	50	20	16
1069001	23	51	37	15	12
6397093	17	43	28	9	16
4945851	19	49	38	12	14
1636882	30	33	38	11	14
193786	22	50	35	20	14
4202733	28	47	40	14	10
5426853	25	41	33	14	9
1354010	25	47	42	17	11
3593761_1	23	43	40	15	11
3593761_2	23	43	40	15	11
1391701	19	48	48	20	12
4153281	32	51	42	16	16
2138691	22	36	36	11	18
6821856	19	44	35	11	13
2374458	23	44	44	12	19
951018	30	46	29	12	9
41819	18	40	34	15	10
4351263	26	34	38	18	11
1905697	29	51	39	12	15
4435775	28	33	30	16	14
5582031	21	43	34	15	12
6371572	27	46	49	12	18
4848935	17	48	36	15	12
5768722_1	22	45	41	17	13
5768722_2	22	45	41	17	13
1182008	28	33	38	16	9
1188501	20	38	27	16	10
6970620	24	44	38	10	14
5154932	22	39	31	16	12
3833890	25	35	34	15	16
1108690	27	33	34	16	12
24129_1	28	47	32	17	11
24129_2	28	47	32	17	11
3247223	25	43	45	15	10
4653486	30	47	47	17	13
1058859	28	52	46	19	9
3826074	20	39	50	18	14
5473429	20	34	38	10	10
824306	29	44	49	17	9
447284	26	45	32	12	12
4205863	20	35	26	13	11
5717971	21	48	40	19	16
1123889	16	34	43	9	12
625470	25	46	39	10	12
2073993	26	38	48	11	17
1775762	26	40	39	14	13
1620768	24	43	38	19	9
3089787	22	42	44	12	16
898753	30	42	35	18	16
3962791	18	36	34	10	12
6722902_1	24	53	46	18	17
6722902_2	24	53	46	18	17
3644215	27	49	45	11	13
6676235	21	34	32	10	10
3373060	23	31	38	9	11
6426701	18	44	36	10	14
4142322	24	36	40	14	11
6056507_1	16	34	35	13	15
6056507_2	16	34	35	13	15
6056507_3	16	34	35	13	15
7070678	28	51	36	19	17
1325583_1	20	38	33	14	10
1325583_2	20	38	33	14	10
3366176_1	28	46	47	10	14
3366176_2	28	46	47	10	14
5866212	14	38	30	10	12
6528631	27	44	31	14	16
4476514	23	46	30	10	12
4117195	26	30	31	9	12
5765400	21	42	41	19	19
1989415	26	43	40	20	12
4257272	21	37	42	10	13
3487563	22	37	31	9	13
4691014	23	40	46	19	10
5550088	26	51	41	18	12
3268774	28	36	35	17	14
4150940	18	37	40	15	15
6390658	24	35	39	10	16
5500653	18	46	39	13	9
460200	26	40	33	18	18
3000242	28	39	42	11	12
5924153	26	40	43	16	12
4977225	15	35	31	19	10
913551	17	45	39	19	14
3607496_1	18	45	36	10	17
3607496_2	18	45	36	10	17
142695	25	38	43	13	15
85371	21	40	49	14	11
1322179	25	42	50	18	11
2584521	30	39	35	14	10
1405388	18	53	36	19	15
1073752	20	42	36	15	18
563350	23	48	39	10	13
6606690	17	36	35	10	11
5604649	26	41	37	19	19
1874238	14	30	36	14	11
745058	21	41	40	17	14
2506086	17	37	36	11	14
1956336_1	28	43	39	13	13
1956336_2	28	43	39	13	13
5970584	23	40	27	10	16
1423161	16	44	34	10	11
4595885_1	16	34	31	16	9
4595885_2	16	34	31	16	9
1332519	17	43	40	10	14
4425675	18	41	41	14	9
6614099_1	21	49	44	16	9
6614099_2	21	49	44	16	9
2730472	22	40	45	13	16
7069139	29	44	41	18	15
1311230	30	50	45	19	15
2950705	29	40	38	10	11
1964096	29	42	32	11	14
6411593	22	39	43	18	11
2748208	27	44	37	13	11
6570804	25	51	43	14	12
4614862	28	54	34	17	13
2733944	22	40	35	9	11
5697989	23	31	39	13	15
2826432	31	47	48	19	10
2000806_1	25	47	39	12	15
2000806_2	25	47	39	12	15
6096694	21	47	50	16	14
6620178	21	40	39	19	14
4849029	14	46	46	17	12
2531218	25	36	39	10	10
1246562	20	43	41	11	17
5970145	18	39	39	11	14
486833	17	40	33	14	10
5342818	26	38	49	18	9
5770425	23	45	45	19	14
5607449	21	45	39	17	13
7062323	14	40	34	13	15
6234554	16	41	38	11	13
4233637	25	49	50	21	16
1454548_1	26	35	41	10	10
1454548_2	26	35	41	10	10
6031575	23	44	44	21	15
345428	19	44	41	15	17
3965389	20	45	46	20	18
1624190	30	46	46	21	15
6640866	26	37	45	10	10
460691	26	49	44	21	15
1466288	29	44	50	13	17
3930341	23	40	37	14	13
31586	27	44	35	11	14
2992780	24	40	33	14	10
3830495	24	36	35	15	12
6296534	24	34	39	16	17
2962456	19	41	27	11	13
5438435	23	50	36	19	12
3200885	21	43	44	11	16
365947	16	39	34	10	17
2250889	30	37	49	15	15
5507195_1	28	34	40	13	15
5507195_2	28	34	40	13	15
951368	18	42	30	14	12
4175307	28	38	41	12	15
1504321	29	45	34	15	10
1961873	22	40	32	12	16
2278559	26	40	39	14	13
2307756	17	38	32	12	11
1065283	32	42	36	19	18
472080	16	41	35	13	15
5337003	32	50	41	16	13
4438464	23	33	32	16	10
2103467	26	36	28	15	14
815448	22	36	27	9	17
4089608	26	38	33	15	9
4037881	26	48	44	12	12
6515788	27	42	43	20	16
4331012	19	46	34	10	10
6613032_1	27	43	35	19	15
6613032_2	27	43	35	19	15
3475171	28	46	30	12	10
7103609	27	48	47	18	9
1192303	20	40	43	18	14
5125507	30	54	39	14	11
1233598	22	37	27	16	12
394355	31	53	42	14	16
1359415	29	40	32	14	16
5738919	21	44	37	11	12
1429258	21	40	28	12	13
1527310	18	49	39	18	13
3260039	32	53	45	18	11
101359_1	15	32	28	17	12
101359_2	15	32	28	17	12
544711	24	32	41	11	11
5996405	28	34	36	11	15
1516039	15	33	41	14	12
4227264	19	30	27	13	12
6947008	19	30	27	9	11
