TARA_145	TARA_152	TARA_23	TARA_81
5847551_1	16	26	14	74
5847551_2	16	26	14	74
5847551_3	16	26	14	74
3156515	16	15	11	58
6351061	16	11	10	51
1503682	19	9	16	60
1742702	31	20	10	56
3681575	28	9	12	61
3629290	27	14	14	62
974853	29	18	14	90
6407031	24	12	11	60
5248883	27	20	11	89
2219924	25	19	13	61
3979314	21	20	12	90
299700	27	21	11	94
4166096	23	14	9	49
988962	30	22	9	76
6492013	26	25	9	76
1544937	26	11	9	76
705661	25	20	14	99
896241	18	23	13	87
1083110	31	24	9	49
4138520	21	16	12	73
5818587	16	26	12	52
6618595	30	12	16	64
1229728	17	19	11	71
2487004_1	27	20	14	78
2487004_2	27	20	14	78
2487004_3	27	20	14	78
1760383	33	22	16	81
2523476	23	11	10	108
1131536	24	12	13	80
4015432	25	17	10	59
4086523	32	20	13	87
2402518	22	17	9	99
262190	24	18	11	93
5554072_1	28	13	11	69
5554072_2	28	13	11	69
5554072_3	28	13	11	69
696317_1	22	14	10	100
696317_2	22	14	10	100
696317_3	22	14	10	100
3019089_1	27	23	15	99
3019089_2	27	23	15	99
1759011	30	17	13	104
3189878	16	21	10	97
4514299	25	14	11	67
2502688	21	14	10	67
6411656_1	35	12	12	53
6411656_2	35	12	12	53
2946199	27	15	9	77
2257572	26	26	10	74
6149540_1	38	23	10	105
6149540_2	38	23	10	105
3333342_1	30	22	10	71
3333342_2	30	22	10	71
4270299	34	20	12	85
3689764	27	19	9	79
6303898	12	9	9	51
6438980	31	19	13	58
4142699	20	21	10	73
6581684	28	13	9	105
422588	29	16	10	70
1750585_1	23	15	13	89
1750585_2	23	15	13	89
2612588_1	24	12	10	74
2612588_2	24	12	10	74
4374515	21	17	11	61
4464496	30	17	13	85
4656764_1	34	14	9	54
4656764_2	34	14	9	54
1428395	25	15	13	81
2451559	26	17	13	101
3542416	30	20	13	91
3580021	17	9	13	70
5910462	27	13	13	92
3036976	36	11	14	56
4615119	30	19	14	103
2956221	34	18	10	87
2483675	22	22	11	79
2331477	33	13	11	79
3695781	20	19	10	100
2910456	24	26	11	68
6581395	23	17	9	88
3437239	33	24	10	73
6247734_1	22	20	12	85
6247734_2	22	20	12	85
3390569_1	25	17	15	97
3390569_2	25	17	15	97
1522849_1	15	15	13	67
1522849_2	15	15	13	67
6547612_1	34	12	12	64
6547612_2	34	12	12	64
1861507_1	33	26	16	87
1861507_2	33	26	16	87
1861507_3	33	26	16	87
164012	17	22	12	76
423361	29	16	12	74
1756691	30	18	11	86
2517484	22	13	10	76
5593864	17	11	11	81
1649937	23	13	9	87
3297706	19	16	10	91
2583256	27	20	11	99
4268955	24	10	14	58
1294055	16	17	9	88
4424552	23	12	15	60
5376974	35	17	14	97
4796229	33	21	9	53
5773409	18	19	11	91
1434443	27	20	10	72
4513784	25	18	13	107
1372407_1	28	17	12	95
1372407_2	28	17	12	95
1372407_3	28	17	12	95
6281512_1	21	17	10	94
6281512_2	21	17	10	94
2279734	30	12	15	110
1360321	29	16	10	66
2994487	24	27	12	95
3640030	28	22	9	75
597127	28	19	13	105
1435196	23	10	13	82
1202324	21	27	9	63
2724484	27	21	11	94
3681997	23	22	11	110
3228161	24	9	10	87
3624948	28	15	12	55
4931576	25	13	10	69
5239559	24	15	10	79
1576632	36	17	9	82
2674310	38	20	10	97
4439859	25	13	13	71
6205882	17	22	12	75
4464296	29	18	11	80
5195605	35	10	14	63
4831412	19	23	11	79
4779171	18	18	9	51
6531359	28	16	10	62
2895773	24	17	15	74
739322	23	16	10	94
981163	23	20	13	72
1553440	26	23	10	85
3540248	21	11	9	56
886673	21	20	9	76
4317369	28	17	11	54
714904	17	12	10	67
1734503	13	14	13	86
1887582	20	26	16	79
2788218	30	20	11	58
3303	27	14	10	72
4005334	24	21	12	73
791720	24	19	11	74
4662475	21	17	9	63
4156757	17	20	12	71
4603398	20	13	13	90
6237201	24	23	9	71
6394289	20	17	10	55
5460951	36	23	9	82
4214355_1	34	22	16	77
4214355_2	34	22	16	77
6345055	23	12	11	69
1269642	29	17	12	54
2986018	26	14	10	60
2073195	29	26	10	83
800599	25	18	10	71
4315853	34	17	10	74
5808404	21	19	15	68
2048443	32	13	10	59
4589180	22	12	13	65
6395198	18	19	11	74
3170973	22	22	10	54
3350608_1	24	21	15	67
3350608_2	24	21	15	67
4568819	22	19	9	68
1532781	37	15	10	63
3275414	25	22	10	96
1790659	31	19	12	91
448632	21	20	12	93
5205784	18	17	10	96
2726493	32	18	13	77
1168389	21	23	12	52
4951263	31	9	11	92
6019648	30	27	15	89
1498083	19	24	12	67
1073996	32	18	9	67
5224492	29	22	9	59
6605128_1	22	13	10	71
6605128_2	22	13	10	71
2345585	38	19	10	62
473168_1	24	18	12	79
473168_2	24	18	12	79
2818839	25	13	13	57
3380672	14	25	9	74
3986644	23	15	16	63
4553222	28	14	9	55
1925702	32	14	12	58
5186892	24	10	15	65
4233342	37	22	14	95
6116435	22	17	12	109
927721	31	22	11	98
2578920	33	10	9	63
3512059	30	13	10	67
5378089	23	15	10	71
1936913	22	16	13	86
3543714	19	20	10	67
2751080	18	21	10	66
5560035	13	17	10	93
6169669	17	23	9	65
4248375	36	25	9	79
2640241	24	14	13	91
2677343	35	19	11	71
1298185	25	19	10	65
3439485	37	11	10	66
3047680	31	15	9	83
4687604	24	12	11	97
2765083	20	15	12	60
2201467	29	26	9	89
900479	19	13	11	97
2426658	34	15	13	99
5498033	27	15	13	63
2986389	19	22	14	83
3288273	24	16	14	82
5397863	23	22	9	58
5640322	19	15	12	78
163581	21	17	12	74
4417481	25	25	11	71
5840796	30	18	14	83
4012001	22	10	14	73
1039174	23	23	10	64
1733649	24	19	9	70
717457	26	21	16	70
6494067	21	12	13	63
5742711	27	11	12	96
546972	28	18	11	88
4570977	18	20	12	61
3993554	31	22	13	68
1288303	30	11	11	89
6511074	15	20	10	58
5589276_1	24	15	12	57
5589276_2	24	15	12	57
2905343	30	22	9	97
1639496	24	16	16	74
4667361_1	29	20	12	78
4667361_2	29	20	12	78
2367972	28	15	13	93
2882576	34	13	10	74
6300350	30	11	9	59
564153	26	21	12	55
419781	27	15	13	107
1946863	21	22	9	85
2877372	19	11	14	66
2813487	18	17	10	76
876229	26	19	11	98
3223199	27	20	10	77
3219289	31	11	13	52
1571051	19	21	10	61
699668	24	21	12	68
5910429	32	14	9	55
1461650	31	21	11	77
1857146	25	12	12	58
279087	28	15	11	67
5697211	32	18	11	64
4045762	15	26	15	53
1022438	27	24	12	97
5809500	22	21	12	64
3446819	28	19	12	66
3631484	29	20	9	96
1066978	38	19	9	62
6597420	25	18	12	84
2960190	35	20	12	94
5633989	23	23	9	95
3234302	14	21	11	53
2118184	28	14	16	59
3559573	16	18	12	79
6335330	31	17	12	112
4294168	17	15	16	75
4306646	24	10	11	69
6107322	28	22	12	95
6016498	29	14	11	71
4461140	23	24	11	67
1101853	20	25	11	91
5360731	18	16	15	53
3018689	22	21	12	83
1860671	19	27	9	102
3112111	25	19	11	79
1572274	22	15	9	94
1758110	26	14	11	94
6300126	30	14	9	58
4583276	16	12	14	77
6441765	21	22	10	76
4654366	22	19	9	81
6619425	37	9	9	70
5625579	26	24	11	85
3991240	12	20	9	71
4623466	31	19	10	77
1606362	29	26	9	108
947358	22	15	11	95
234591	29	14	10	82
1290213	15	14	11	60
