TARA_144	TARA_146	TARA_147	TARA_148	TARA_149	TARA_70	TARA_76	TARA_78
2574582	16	19	17	52	13	15	25	10
4991078	10	24	24	44	18	14	19	12
3364431	13	24	23	30	14	17	22	12
5389245	10	21	21	28	15	9	25	10
3509343	11	18	18	38	13	16	23	10
1545138	12	19	25	34	14	13	28	11
6303538	10	29	30	35	15	9	15	12
3384782_1	14	30	27	48	25	13	15	13
3384782_2	14	30	27	48	25	13	15	13
2366559	11	17	25	31	11	16	19	13
1749483	12	14	13	29	14	13	26	9
1241965	15	27	30	52	19	18	30	9
4781555_1	9	19	25	31	19	14	11	9
4781555_2	9	19	25	31	19	14	11	9
471046	10	18	19	39	22	13	18	15
6120284	15	29	28	45	15	11	15	10
2888331	11	17	11	34	15	12	22	9
5622917	11	17	17	32	19	17	21	9
2638815	11	21	31	45	19	10	25	10
4730455_1	14	23	28	47	25	10	21	13
4730455_2	14	23	28	47	25	10	21	13
5254689	11	20	17	39	18	14	27	14
5345835_1	12	28	17	34	18	10	32	13
5345835_2	12	28	17	34	18	10	32	13
2175844	10	22	19	32	15	11	34	9
6567335	15	29	30	43	15	15	23	10
115550	16	29	30	45	19	18	18	12
31325	10	22	22	49	15	12	24	9
4661942	11	20	24	50	17	9	17	13
3863088	15	33	20	47	14	10	21	10
16309	12	15	16	23	10	11	17	11
3163131	9	26	17	31	15	9	28	13
5388500	13	28	17	47	18	14	15	15
32456	12	22	28	48	12	15	24	14
6045010	12	11	23	32	19	10	10	9
5830536	9	19	20	44	21	10	31	12
5585479_1	9	30	17	49	15	13	26	9
5585479_2	9	30	17	49	15	13	26	9
4806999_1	10	20	14	31	15	17	25	9
4806999_2	10	20	14	31	15	17	25	9
930131	11	27	24	42	21	10	23	11
1360306_1	9	27	22	49	16	21	13	13
1360306_2	9	27	22	49	16	21	13	13
2438032	9	24	18	50	19	17	16	15
2545414	9	27	22	52	20	16	30	9
645737	10	18	28	31	9	10	16	10
1645581	9	17	16	32	11	14	13	12
814932	13	18	31	37	22	16	27	14
2589905	11	25	19	49	18	15	25	11
1219644	11	14	16	31	12	10	31	15
1315038	13	27	14	35	12	12	13	10
5741593	9	18	17	35	9	11	18	10
2253337	9	27	26	41	15	12	23	14
4768698	11	30	31	36	12	13	22	15
4092555	11	21	18	38	18	17	29	14
4975388	9	21	31	40	21	12	30	9
3842197_1	14	20	18	49	14	13	29	12
3842197_2	14	20	18	49	14	13	29	12
5028242	11	32	24	45	23	13	25	14
6596106	13	28	29	49	15	15	31	14
5211131	9	20	14	27	13	12	12	13
164415	11	16	23	43	17	13	26	10
4339862	9	20	30	50	23	18	17	13
1167149_1	9	18	23	53	19	17	24	10
1167149_2	9	18	23	53	19	17	24	10
1827214	15	26	28	46	19	18	19	10
4647750	9	19	26	40	14	11	15	11
5394757	12	20	29	41	11	9	28	11
5542633	12	22	14	37	10	17	24	9
298288	10	23	22	42	15	13	23	10
2324132	10	25	23	36	19	10	18	11
332593	10	29	21	34	19	13	15	11
2742917	10	24	23	38	17	12	19	11
6391402	11	24	28	44	20	11	20	13
5996809_1	12	25	16	53	22	16	31	10
5996809_2	12	25	16	53	22	16	31	10
5996809_3	12	25	16	53	22	16	31	10
4185056	16	24	14	42	16	15	17	12
212265	10	29	24	50	18	12	23	12
1965576_1	9	31	21	37	15	9	21	10
1965576_2	9	31	21	37	15	9	21	10
113296	10	20	14	33	15	14	20	13
322307	9	19	23	48	25	11	17	9
3703714	9	26	31	48	11	20	21	9
5294059	13	23	25	53	23	14	19	14
3463044	10	22	15	38	12	14	32	9
1992172	9	18	17	33	17	19	30	13
69110	14	22	22	44	18	11	15	12
6129021_1	13	20	20	37	15	15	30	10
6129021_2	13	20	20	37	15	15	30	10
5681685	10	18	25	39	14	9	17	12
2341671	10	28	22	41	14	10	15	10
2097579_1	12	31	28	46	21	14	18	11
2097579_2	12	31	28	46	21	14	18	11
5194870	11	15	20	31	18	17	23	15
6475329	10	18	26	44	17	16	30	9
3880342	13	20	27	42	9	17	28	14
3734732	9	18	28	53	20	19	32	15
5072671	11	22	27	49	11	15	16	12
5105929	9	30	27	31	22	10	25	9
4473084_1	14	33	16	35	18	9	28	9
4473084_2	14	33	16	35	18	9	28	9
6374168	12	17	19	35	21	9	33	10
5679820	13	17	28	44	14	14	23	11
6379178	12	29	20	37	15	11	31	10
6027820	11	31	16	36	13	16	20	9
5046310	9	26	19	34	14	18	29	12
6291691	9	25	22	48	17	16	27	11
5861002	9	14	24	31	19	14	20	10
5641206	9	24	19	44	18	17	32	10
1685208	14	22	23	44	16	21	27	10
2416570	12	15	24	36	13	12	22	9
1789739	10	27	20	25	9	9	26	14
2309653	11	26	22	31	16	13	20	9
5940131_1	9	19	25	40	25	17	25	15
5940131_2	9	19	25	40	25	17	25	15
1058914	11	23	21	45	18	18	17	13
2309127	15	29	27	39	16	15	27	14
1229616	10	23	14	39	21	19	23	9
642998	12	29	16	27	11	14	25	9
5125514	10	25	29	36	18	17	20	9
3153674	10	23	23	34	21	18	21	11
6445021	11	22	20	38	15	11	20	14
4338466	13	20	25	41	18	18	26	10
502793	11	11	20	31	14	11	18	13
3979551	9	33	26	51	19	20	33	9
38292_1	16	23	21	37	16	13	22	10
38292_2	16	23	21	37	16	13	22	10
2631488	11	24	19	44	22	16	20	11
522196	12	18	29	38	15	15	31	13
3122027	11	16	21	32	15	14	23	10
2852593_1	10	17	23	34	11	21	22	10
2852593_2	10	17	23	34	11	21	22	10
4576565	14	23	23	32	20	21	14	13
1547521_1	13	17	26	49	26	10	20	14
1547521_2	13	17	26	49	26	10	20	14
1447774_1	9	21	20	42	14	9	30	9
1447774_2	9	21	20	42	14	9	30	9
2382313	10	19	17	26	16	10	17	12
5902825	9	32	19	45	24	11	21	12
2766327	11	25	21	50	18	16	22	10
4059256	9	32	17	40	13	11	28	10
6115918_1	11	21	22	37	12	14	24	12
6115918_2	11	21	22	37	12	14	24	12
554385	11	19	25	37	18	13	23	11
2125059	13	22	17	33	11	11	17	10
3346819	14	24	12	52	20	14	31	9
3096220	14	22	22	42	13	13	19	14
1508959	12	29	23	35	15	16	31	10
920504	9	26	30	53	24	15	24	15
6110980	9	18	25	49	11	13	26	12
1647731	10	22	24	42	14	16	15	10
2978891	12	22	20	47	16	17	34	11
2503111	9	25	23	43	10	11	21	10
2507707	10	28	23	49	17	12	22	11
3089752	13	23	21	43	22	21	18	10
2315765	9	17	19	46	20	16	30	10
1868260	10	17	25	36	12	21	27	10
376968	9	14	27	35	24	15	29	9
1950000	10	17	22	45	21	12	24	13
2718941	9	20	23	43	23	12	33	11
1811172	14	20	24	35	25	12	26	10
2018111	11	19	30	40	20	13	28	9
5347694	9	32	18	44	17	12	29	12
4106562	12	30	18	48	12	13	22	9
2932104	12	15	23	49	16	10	26	9
27369	10	24	27	43	19	15	20	9
4829871	10	21	28	42	17	14	31	10
3879825	15	27	20	34	12	9	13	11
4325634	13	21	26	32	12	21	21	12
4608205	11	21	25	42	14	18	30	14
14056	9	23	26	41	11	20	23	13
426949	10	18	22	30	12	12	22	12
5936587	10	24	13	43	13	11	23	9
5324347	9	32	21	40	26	13	29	12
1190800	9	28	22	46	21	14	15	10
5360791	11	17	22	43	22	10	25	11
5337340	12	27	23	53	20	10	26	12
6413596	11	23	26	38	25	10	23	9
5827213	12	21	27	44	13	14	19	12
923386	13	23	13	38	18	15	13	10
6576788	10	15	23	33	16	10	32	12
2197635	15	27	14	41	14	18	15	13
379566	11	24	30	46	26	12	23	9
1689888	10	26	31	51	17	13	24	13
6111732	10	18	11	29	9	13	20	13
3917087	12	19	15	34	10	21	17	12
4323553	9	17	24	42	15	12	32	12
1929757	11	26	21	51	19	18	30	11
6059877	9	21	26	41	20	12	21	9
3298696	10	26	29	38	21	11	26	11
6330008	16	29	17	28	21	11	23	10
264657_1	14	31	22	53	24	12	18	11
264657_2	14	31	22	53	24	12	18	11
264657_3	14	31	22	53	24	12	18	11
1584704	11	33	26	52	19	13	21	13
186718	10	17	28	49	16	15	30	10
2901741	9	27	22	36	19	9	24	9
3548820_1	9	22	19	48	19	14	21	13
3548820_2	9	22	19	48	19	14	21	13
3548820_3	9	22	19	48	19	14	21	13
1623803	16	30	27	43	22	14	31	13
1851433	12	33	22	48	24	14	28	9
364687	11	30	31	51	13	10	23	13
3896655	12	15	19	39	14	12	18	9
4940205	16	25	19	52	20	17	26	12
2651791	16	30	27	45	16	11	32	10
154794	10	33	29	53	23	12	19	10
3827851	14	16	27	28	12	20	14	11
566305	9	27	22	45	24	21	30	11
1538497	11	23	26	44	18	10	15	10
176936	10	30	28	36	25	18	30	15
321627	12	24	21	34	19	12	15	9
5808053	11	27	23	53	19	12	21	12
4671507	13	22	18	40	23	12	21	12
6064718	12	26	24	46	21	14	24	12
2634091	10	16	22	52	23	13	21	12
5068490	9	18	22	36	18	10	11	10
2965654	12	22	22	40	18	14	24	12
3809381	9	25	26	51	19	16	21	15
97697	13	18	26	50	18	20	22	11
1260370	9	21	20	36	14	11	26	9
2153776	13	27	22	37	22	13	25	11
5841961	9	28	30	37	14	18	17	11
2575173	11	27	30	39	11	9	24	14
590023	12	29	13	41	18	12	33	10
4445629	14	20	26	46	25	15	31	14
97816	13	25	14	33	12	14	26	9
1326705	12	31	30	51	14	20	29	11
2823551_1	12	23	22	39	14	16	29	13
2823551_2	12	23	22	39	14	16	29	13
6080846	11	22	19	44	20	17	23	11
1725952	9	19	21	45	11	18	26	11
59388	10	25	26	25	12	10	25	11
3507973	9	12	16	44	18	9	23	14
1661448	14	21	20	47	16	11	18	12
207104	10	31	16	45	22	12	25	13
3840247	10	27	19	40	13	13	29	11
3291492	12	28	25	44	14	21	31	11
5011339	16	32	24	49	14	13	26	14
462771	9	17	16	50	20	13	30	10
6179048	16	25	16	41	18	12	25	15
45541	13	18	16	41	13	16	26	12
2580415	13	19	20	37	10	11	20	12
2355936	12	25	17	46	9	18	15	14
574865	9	27	29	37	22	9	34	10
213213	15	16	22	38	13	12	11	14
1412795	12	21	16	38	19	11	31	11
5393446	15	30	27	49	20	14	21	12
1394019	9	23	25	44	18	12	17	15
656067	14	26	21	39	15	12	12	15
5588768	12	23	29	39	11	21	28	9
379689	14	25	24	33	23	14	22	11
5749425_1	14	25	21	45	9	12	30	12
5749425_2	14	25	21	45	9	12	30	12
1223854	11	24	26	49	24	20	34	11
2166873	10	19	21	45	15	10	29	14
5764062_1	10	30	21	45	25	16	32	10
5764062_2	10	30	21	45	25	16	32	10
2589013	12	27	28	45	23	15	29	9
6070839	9	30	30	45	11	16	18	10
2488981_1	15	23	27	42	23	17	29	9
2488981_2	15	23	27	42	23	17	29	9
156272	11	31	16	49	14	15	29	14
5362942	9	28	31	46	16	9	31	11
5069729	14	25	21	40	12	15	19	9
3330519	12	20	16	42	23	13	27	9
4767662	9	20	28	32	21	13	19	11
3575135_1	11	24	18	44	13	14	30	10
3575135_2	11	24	18	44	13	14	30	10
5363989_1	9	31	20	41	14	17	29	12
5363989_2	9	31	20	41	14	17	29	12
5363989_3	9	31	20	41	14	17	29	12
4355778	13	20	15	48	18	13	29	12
3918360	12	26	20	50	15	18	19	9
79535	12	29	30	53	26	12	24	15
