TARA_4	TARA_7	TARA_9	TARA_18	TARA_22	TARA_23	TARA_25
6017135	9	21	11	9	14	32	13
5862132	13	30	12	12	12	31	10
1206210	10	20	11	13	13	34	9
5206065	13	30	13	12	9	38	9
1996198	11	22	11	9	13	35	13
4023103	10	30	16	12	9	31	13
1321521	12	23	14	9	13	33	9
3677356	11	20	10	9	14	29	10
4750107	13	22	12	10	10	37	11
3904897	12	30	13	9	10	34	9
2602420	11	21	17	11	14	31	11
1705851	11	29	17	10	11	37	11
468816	12	24	11	10	18	26	10
5137773	10	30	13	14	9	29	9
376469	9	30	14	13	18	40	9
6601160	9	21	9	11	14	41	11
3966063	13	24	13	11	16	36	13
2962719	10	28	14	12	9	30	12
1887963	9	26	13	10	18	36	11
466908	9	24	16	9	10	33	11
1250822	9	24	15	9	11	35	11
823054	12	22	18	11	11	32	10
2342533_1	9	30	9	11	16	42	9
2342533_2	9	30	9	11	16	42	9
2342533_3	9	30	9	11	16	42	9
2385043	9	23	18	9	17	34	12
443557	10	18	10	12	15	28	12
1419887	10	30	14	9	16	34	13
5584668	12	26	16	9	13	41	10
5198825	10	22	10	14	11	29	12
1794709	11	26	12	10	15	38	11
3512577	12	26	14	11	11	39	9
6019726	11	24	10	10	16	32	11
6523586_1	13	25	14	10	10	33	10
6523586_2	13	25	14	10	10	33	10
891765	12	31	14	12	12	28	11
4234745_1	9	19	11	11	12	41	12
4234745_2	9	19	11	11	12	41	12
5997577	9	28	15	10	18	41	9
6033979_1	13	29	14	14	9	29	10
6033979_2	13	29	14	14	9	29	10
2926834	10	29	12	11	14	34	9
6371348	9	27	13	10	12	39	10
1471610	13	29	14	15	11	30	10
5405177	10	22	12	10	9	25	10
3229175	11	19	9	12	11	42	10
3398878	10	22	16	9	17	33	10
5872533	9	26	11	10	13	32	13
292456	9	24	18	10	18	35	13
1259606	9	25	12	9	15	27	9
2313978	12	22	11	14	13	33	9
6382237	9	21	17	10	11	36	10
5924495	9	27	12	13	13	29	12
4427349	10	20	10	10	15	36	10
166178	9	21	15	11	11	38	9
2087814	11	23	13	11	14	39	13
3311544_1	10	28	13	9	16	37	11
3311544_2	10	28	13	9	16	37	11
949316	11	18	14	10	9	30	9
1919890	10	20	11	9	15	31	9
2075502	13	31	12	10	13	35	11
6011121	10	23	16	12	11	42	10
974359	9	28	9	9	17	35	12
2794147_1	11	30	9	11	16	34	11
2794147_2	11	30	9	11	16	34	11
1938352	11	28	13	13	10	25	9
1658073	10	24	11	15	13	36	11
6184722_1	9	25	11	11	13	34	12
6184722_2	9	25	11	11	13	34	12
1422264	10	27	15	10	10	30	13
6191525	12	26	10	9	14	30	10
1206378_1	11	23	14	10	9	26	9
1206378_2	11	23	14	10	9	26	9
3373009	11	18	15	12	10	37	9
2163146	12	31	17	14	10	31	9
646059	10	31	12	10	12	32	9
1508421	11	19	10	13	12	33	9
3507356	9	30	13	13	14	31	13
2451371	10	20	12	13	16	35	9
1913598	9	21	12	12	13	30	10
4466783	9	20	11	11	17	38	12
691248	13	25	14	9	9	34	13
1895291	12	27	12	14	9	35	12
613423	10	22	9	9	14	37	11
4383139	13	22	12	11	13	38	12
5279438	13	24	10	9	13	37	13
2699204	11	19	18	9	13	38	10
4776021	11	26	18	9	10	35	9
6051143	11	19	13	10	9	39	11
2575065	12	29	11	12	13	40	12
2266861	9	27	10	11	15	32	13
217507	10	24	10	9	14	27	11
6401948	9	20	15	11	14	33	10
612304	10	21	9	9	12	25	12
6371133	9	31	11	14	13	32	13
1047947	9	19	10	9	10	37	11
3526619	13	30	10	10	14	37	9
5633124	10	27	16	9	18	37	13
617143	12	19	11	10	10	34	9
1941054	11	27	10	10	10	35	10
6144754	9	22	13	10	17	27	9
6183832	11	22	11	11	10	37	12
2824804	10	25	12	9	16	41	11
