TARA_142	TARA_146	TARA_147	TARA_150	TARA_151	TARA_68
4215772	18	18	15	28	13	14
5901413	14	21	17	32	9	14
5572165	15	18	23	25	14	11
467649	17	15	16	33	14	12
5512679	14	16	17	34	12	9
1740428	18	20	23	35	10	12
2577504_1	19	17	18	27	15	13
2577504_2	19	17	18	27	15	13
1335428	13	19	13	29	12	12
1669880	10	23	20	29	9	9
1730687	18	20	20	33	14	12
4027469	20	12	18	25	11	10
4838161	11	19	18	33	14	9
5200601	13	20	23	24	12	9
1693523	12	17	20	24	12	10
4418585_1	17	17	25	36	13	11
4418585_2	17	17	25	36	13	11
4418585_3	17	17	25	36	13	11
5549420	17	21	21	39	10	14
6557558	21	16	19	33	11	11
4717355	14	12	20	30	13	10
6251949	17	15	17	23	9	9
3692208	10	17	24	31	11	10
5752983	12	12	17	32	12	10
6439483_1	15	20	18	25	9	9
6439483_2	15	20	18	25	9	9
3741869	16	20	23	35	15	12
4655819	20	14	19	32	10	9
4026477	12	20	15	37	12	12
6150101	15	21	23	33	12	10
4538081	11	18	16	30	11	13
6158567	13	23	13	31	10	11
2949560	16	23	22	29	10	10
4177134	11	14	18	30	13	14
967979	15	19	23	31	11	14
1731249	13	21	22	35	11	11
4540491	21	17	16	26	9	9
4077051	11	17	23	34	14	13
3419736	17	16	19	34	10	9
5419801	12	18	13	32	9	10
2618482	16	24	23	35	13	12
3793242	13	17	21	27	9	10
3699874	14	16	20	29	11	9
2392138	17	21	17	35	13	13
384294	17	20	17	28	9	10
534445	9	23	18	37	10	10
4086171_1	15	15	13	31	10	10
4086171_2	15	15	13	31	10	10
3495209_1	16	18	17	26	14	9
3495209_2	16	18	17	26	14	9
6268117	20	17	19	29	11	10
3075587	17	16	18	32	10	9
5568644	12	14	16	25	10	11
4692230	10	13	20	28	12	12
4728946	16	18	23	24	11	9
6144188	13	18	14	28	10	11
606344	15	22	21	30	11	14
4589743_1	11	13	16	29	9	11
4589743_2	11	13	16	29	9	11
4341048	17	16	20	28	11	10
4566904_1	13	15	23	30	15	12
4566904_2	13	15	23	30	15	12
2117159	17	14	18	25	13	10
3425298	20	20	16	28	12	9
3870080	20	15	18	25	15	9
4711156	9	17	14	31	11	9
2420646	11	13	15	27	11	12
3390962	12	12	19	28	10	9
3928133	14	13	17	29	14	10
617351	16	19	20	35	10	12
4035338	14	17	18	21	10	9
6457661	16	15	18	29	12	11
1420143	16	17	23	32	10	11
5456161	13	18	17	22	11	9
2547602	13	20	13	27	9	9
5643723	21	17	22	27	9	11
6255239	14	16	16	29	14	11
6171084_1	9	22	18	33	10	11
6171084_2	9	22	18	33	10	11
4078196	16	21	19	31	12	10
2272875	13	17	18	23	13	11
4354883	18	17	23	30	10	14
4481425	17	22	21	26	10	11
5687378	16	21	15	22	11	9
5642058	17	18	21	37	14	14
2367463	10	19	22	31	11	9
4848955	13	16	21	34	11	9
1733336	19	15	15	22	10	11
1496684	12	12	18	32	12	12
6376345_1	15	18	18	22	9	10
6376345_2	15	18	18	22	9	10
6577359	19	20	22	33	10	12
2782346	13	18	14	24	9	10
6324270	11	19	25	37	13	9
6205872	15	16	20	36	11	9
6075123	12	12	19	25	9	10
3169005	15	17	17	22	12	9
4633854	19	19	22	37	10	10
4102817	11	19	19	30	15	11
5971670	20	17	19	37	13	11
2993624	16	17	22	22	9	10
3945337	13	22	15	29	12	13
2847124_1	14	17	13	29	10	11
2847124_2	14	17	13	29	10	11
2847124_3	14	17	13	29	10	11
5663094	21	15	22	31	10	11
4538089	17	16	21	35	11	12
4773575	12	18	20	30	11	13
315902	15	20	23	32	9	9
2454590	14	19	20	28	13	14
