TARA_147	TARA_148	TARA_149	TARA_150	TARA_151	TARA_4	TARA_78
2266969	27	14	15	10	48	15	10
6139370	35	13	16	9	30	11	16
1276935_1	28	22	14	12	48	10	12
1276935_2	28	22	14	12	48	10	12
1554668	19	11	13	9	44	14	9
4912404	22	12	25	10	58	9	18
4756488	35	23	16	11	47	11	11
439637	18	12	13	13	45	9	14
7031044	29	15	18	9	34	12	11
5994742	27	10	17	12	38	13	15
2136699	17	9	23	9	45	9	16
676996	20	12	17	9	61	9	13
1978314	21	19	16	10	42	12	9
5460234	25	12	13	10	43	10	17
1296354	30	19	18	10	52	9	10
5040193	35	13	14	9	62	11	11
4174597	28	15	18	13	49	9	14
2391952	24	10	22	9	34	9	15
4399802	35	14	21	12	59	9	12
4857052	23	17	16	15	56	9	12
5629342	20	22	20	15	55	15	12
3361349	17	16	10	11	52	12	12
6849567	37	20	25	13	54	14	15
1573098_1	35	15	24	12	51	9	16
1573098_2	35	15	24	12	51	9	16
2937667	25	16	19	11	58	15	15
1284363_1	21	14	22	11	39	12	17
1284363_2	21	14	22	11	39	12	17
3912368	34	15	19	11	54	13	10
3588305	24	22	20	11	35	9	10
5850454	38	20	24	9	55	13	13
3989097	25	15	20	16	46	10	17
3496132	21	20	18	10	53	9	15
847298	33	21	28	13	55	11	18
1359414	25	20	21	13	63	13	14
1919220	32	14	18	12	60	11	14
6714716	25	18	22	13	55	10	15
5230493_1	21	12	11	12	32	9	18
5230493_2	21	12	11	12	32	9	18
5160493	18	18	21	13	55	9	16
4525993	19	11	15	10	52	10	12
4745801	26	19	14	13	56	9	9
2963150	30	13	25	10	62	12	18
5985478	30	16	28	14	52	10	13
2581330	32	21	28	17	56	13	10
5745739	35	23	19	11	65	10	16
5640933	33	18	29	10	51	10	14
6480178	28	19	23	12	61	10	13
4540909	26	22	27	14	55	14	12
3284588	27	17	26	9	59	10	18
7086089	37	21	27	12	67	13	13
6105645	28	12	15	10	40	13	15
1131283_1	32	11	15	10	45	10	17
1131283_2	32	11	15	10	45	10	17
5882690	22	21	15	12	43	9	9
512289	24	12	14	9	37	14	9
51416	26	14	26	16	55	14	14
5338661	38	22	30	14	68	11	12
314030	32	18	11	14	49	15	9
829145	35	22	25	11	57	9	12
3209158_1	31	20	26	9	50	10	17
3209158_2	31	20	26	9	50	10	17
3496711	30	16	19	12	64	14	14
111416	35	20	26	17	54	11	10
4056182	20	13	24	16	50	11	10
2899381	36	18	17	14	63	11	13
2983225	26	13	26	11	54	9	18
4762767	23	13	27	11	46	12	17
6755449	20	20	13	12	49	11	9
5087764	20	16	16	14	54	15	13
6977488	33	20	21	13	52	10	13
7108935	28	18	17	10	43	10	9
462376	29	11	19	15	41	14	11
2590423	30	14	21	9	41	12	9
4480456	35	22	21	15	49	9	10
169587	33	15	20	13	62	9	16
2861853	33	16	28	9	55	14	11
3712120	34	16	29	11	59	11	15
1680130	29	20	19	13	59	10	18
715588_1	33	14	24	12	52	9	14
715588_2	33	14	24	12	52	9	14
386291	33	17	21	14	63	15	12
4622805	25	10	19	12	55	9	11
7027770	26	12	27	12	60	9	13
373169	37	18	24	13	51	15	15
1911513	33	14	23	11	55	10	13
2093203_1	27	13	25	13	60	12	15
2093203_2	27	13	25	13	60	12	15
2392391	29	16	18	16	56	12	11
654791_1	38	21	25	16	62	11	9
654791_2	38	21	25	16	62	11	9
5914629	33	22	19	13	63	10	9
4290510_1	28	19	23	13	54	9	14
4290510_2	28	19	23	13	54	9	14
4290510_3	28	19	23	13	54	9	14
3179215	28	18	26	12	57	10	15
3346982	33	20	17	11	48	12	10
5663753	33	19	28	9	65	13	11
4009855	30	13	23	9	51	15	16
4154205	28	16	21	12	52	10	11
6249661	22	13	20	12	57	9	18
5485064	28	20	28	10	52	9	17
6640305	25	16	27	14	63	9	16
4635096	34	13	28	11	65	9	18
3483462_1	33	15	28	14	68	11	13
3483462_2	33	15	28	14	68	11	13
2809926_1	31	17	29	17	62	9	11
2809926_2	31	17	29	17	62	9	11
3352828	25	13	19	14	63	13	18
1772021	28	10	17	10	54	15	15
3358579	26	18	23	12	68	10	11
5673158	31	23	23	13	67	10	9
6456064_1	38	18	28	9	57	11	15
6456064_2	38	18	28	9	57	11	15
467950	30	16	28	9	59	12	12
4690343	31	16	24	11	42	10	12
3006748	23	18	25	11	56	12	10
3568044	25	12	25	9	52	11	10
