TARA_147	TARA_149	TARA_150	TARA_151	TARA_152	TARA_25	TARA_26	TARA_30
3929486	13	18	10	9	22	9	11	58
3752006	19	19	12	13	19	13	11	44
1570872	19	14	18	16	15	10	11	66
1860867	19	10	13	12	17	13	11	43
6327887	12	12	14	16	12	9	11	37
949774	15	12	15	14	22	13	11	71
2677547	11	13	15	14	16	13	17	59
4000302	12	16	10	19	15	14	16	64
4323576	17	11	11	14	11	11	11	76
3564095	22	14	16	15	12	14	10	69
2772886	11	10	11	14	11	9	12	45
6246220	13	10	17	14	15	11	13	47
1749790	10	13	11	19	18	10	10	45
1611594	9	16	13	14	12	14	9	54
66849	14	10	9	9	10	11	9	40
2722820	10	13	14	15	11	11	13	34
3906601	14	14	13	10	18	13	14	53
1526394_1	14	12	15	11	12	15	12	74
1526394_2	14	12	15	11	12	15	12	74
4080823	12	20	15	15	12	9	15	54
4839028	11	11	16	15	11	13	10	77
6322732	18	18	14	14	16	9	15	52
6617120	10	18	9	12	13	17	12	64
1259426	17	14	15	9	22	12	9	73
816503	15	11	14	15	15	18	13	50
1755119	13	11	20	9	13	10	14	39
6558470	17	17	18	17	16	15	13	65
6254292	16	20	16	17	14	9	12	45
6075934	18	19	12	19	10	13	11	49
3037197	23	14	12	10	13	9	10	52
1439651	20	20	17	15	11	10	11	55
6440091_1	17	9	10	20	11	13	14	51
6440091_2	17	9	10	20	11	13	14	51
2172238	16	17	18	16	18	14	14	58
1104626	16	19	14	14	16	12	9	71
3349500	17	13	12	13	21	15	17	59
5013465	17	10	14	12	11	18	10	59
6250452	15	14	17	16	13	9	13	43
5095161	21	14	9	13	14	9	9	39
3937435_1	21	15	10	14	19	13	13	64
3937435_2	21	15	10	14	19	13	13	64
3116230	14	16	9	17	18	13	11	66
4824388	22	21	11	17	17	9	14	49
5545513	17	20	18	19	14	10	14	64
1412540	14	10	20	12	12	11	9	44
1609631_1	19	17	14	11	13	15	10	56
1609631_2	19	17	14	11	13	15	10	56
5324931	16	22	17	14	12	15	12	71
33879	11	12	16	12	14	13	17	63
3623477	25	20	19	11	17	14	12	60
1964714	16	13	12	11	11	11	9	58
3476902	25	21	14	13	13	13	10	51
6621309	19	12	15	15	16	11	15	69
2202685	14	14	17	11	11	9	9	49
3059311	14	13	20	11	13	16	12	63
3581620_1	18	19	17	17	15	16	10	70
3581620_2	18	19	17	17	15	16	10	70
3581620_3	18	19	17	17	15	16	10	70
1092209	23	14	13	20	19	13	13	59
5710348	12	16	21	10	20	15	14	61
470254	17	17	17	19	10	17	13	73
2676023	18	14	17	10	13	10	11	58
4433091	20	9	18	9	10	12	10	74
2649214	14	15	15	16	13	11	12	69
854295	19	17	19	17	18	15	10	60
3413409	9	15	11	9	10	10	14	51
4406643	13	21	10	12	17	15	10	56
5602022	12	11	12	21	13	11	10	58
6426218	11	12	15	13	15	13	12	57
6541256	12	20	9	18	18	9	11	73
5828221	19	14	18	16	11	14	13	58
4809789	18	22	14	11	15	10	10	57
1153730	18	15	22	15	11	13	10	74
6047784	13	19	12	18	16	16	10	73
3684035	13	13	12	14	19	14	11	64
3658178	16	15	17	16	15	12	10	76
2651211	13	11	11	17	12	14	16	47
2161794	12	15	11	17	14	18	10	68
6076115	14	19	12	14	15	14	17	78
1950874	23	20	12	15	18	14	16	79
6002043	9	9	12	13	13	15	14	62
716012	22	13	14	13	14	17	14	76
3620139	11	9	14	14	11	9	16	75
1846956	17	17	11	15	19	18	17	69
1631454	21	13	14	16	12	10	9	49
624790	16	20	11	16	12	13	17	79
3285251_1	14	15	15	17	12	18	11	73
3285251_2	14	15	15	17	12	18	11	73
5544533	11	17	11	9	14	13	13	61
4300413	15	12	11	15	14	14	13	58
3491630_1	25	12	15	12	10	14	11	59
3491630_2	25	12	15	12	10	14	11	59
5468275	11	15	11	11	16	12	11	47
3756202	22	12	20	17	20	15	10	78
3270222	11	12	16	11	20	15	17	55
3955060	13	14	11	13	9	17	14	59
2165053	21	14	17	15	21	13	17	57
907216	15	10	15	21	18	11	9	54
5392884	15	15	21	15	12	15	9	78
113976	16	13	21	16	15	10	9	50
2102977	19	18	16	18	13	16	13	76
5087703	23	19	19	20	13	9	15	74
4365909	18	15	11	13	10	14	13	51
5129259	18	18	16	19	20	16	10	57
6081663	18	18	14	11	15	18	14	72
1765377_1	19	14	19	14	14	15	14	77
1765377_2	19	14	19	14	14	15	14	77
298426	13	10	15	9	16	12	12	55
2564361	18	17	13	14	17	9	12	59
2731381	18	17	10	16	18	10	11	69
4661983	21	16	19	17	12	17	17	71
5991900	19	11	12	14	11	11	14	63
939738	13	17	14	9	10	12	13	46
5624554	25	20	19	18	14	10	12	75
2869621	20	16	13	15	16	11	14	63
3305933	21	12	11	15	20	10	10	55
4858859	18	16	14	13	11	11	17	48
1375726	19	18	18	17	19	13	11	78
6143620_1	17	16	17	20	13	17	11	70
6143620_2	17	16	17	20	13	17	11	70
4267385	15	11	10	12	17	13	12	80
5513339	12	22	11	15	18	17	13	66
3281369	25	16	17	15	22	12	12	58
2714608	20	15	16	11	21	16	11	62
5522609	17	20	16	16	16	12	16	75
6440613	22	16	13	20	20	10	9	68
4696233	20	9	11	13	14	11	17	56
4346738	20	21	14	13	19	12	14	69
4979394_1	24	14	20	12	19	13	12	58
4979394_2	24	14	20	12	19	13	12	58
3066299	14	14	10	12	15	12	9	64
1817542	14	15	19	15	12	15	10	75
