TARA_148	TARA_150	TARA_151	TARA_68	TARA_80
944145	29	15	30	15	9
5416204	41	17	29	21	9
6245543	50	21	29	18	9
6164247	33	22	29	17	9
4131358	51	13	33	18	15
5014222_1	23	12	32	15	9
5014222_2	23	12	32	15	9
7062119	28	16	27	14	9
5657158	27	17	18	12	10
3377703	27	19	22	25	15
5745252	37	21	23	17	9
682917	44	18	31	16	11
6074	27	15	25	23	14
1423320	38	12	20	17	10
127490	41	16	33	22	13
4990421	40	14	28	23	14
4273343	30	11	25	21	10
5023788	29	9	31	15	14
5403982	26	11	17	23	14
1911222	26	10	16	16	10
2882234	31	16	33	19	9
431803	24	11	19	10	16
1903255	29	11	26	24	16
4808834	30	9	29	14	9
4213108	45	24	42	18	10
2597112_1	42	18	35	22	9
2597112_2	42	18	35	22	9
6259838	24	14	28	16	10
4237182	33	16	23	21	12
5717543	44	13	21	19	13
3148593	23	11	34	15	13
1023735	32	12	34	27	9
1008460	25	14	20	16	9
3594078	47	17	31	14	15
4491661	49	18	32	17	15
2160990	34	14	30	25	12
6022810	48	11	36	19	13
6184091	52	10	35	15	9
1544729	26	14	17	12	16
5452269	28	13	26	17	9
6928974	49	16	28	18	12
1973992	37	14	25	23	11
2269427	33	14	26	18	12
1746446	27	12	17	17	14
3316925_1	41	24	44	22	13
3316925_2	41	24	44	22	13
3316925_3	41	24	44	22	13
3434149_1	33	20	28	12	12
3434149_2	33	20	28	12	12
1933055	24	13	28	15	12
2242414	41	9	34	18	11
5686238	37	22	34	24	12
5068208	32	13	28	14	10
6119656	32	16	24	17	9
2448216	26	14	19	23	13
3695946	25	15	24	16	12
5098019	34	9	33	22	15
5181380	36	23	31	15	9
2116299	26	10	24	16	10
4409707	33	19	22	24	12
6345036	26	10	17	17	14
5051622	25	11	17	9	11
4797967	38	21	22	17	9
5584552	55	19	25	14	10
5107244	39	13	28	13	10
883615	27	13	17	12	12
3862548	30	11	27	9	9
5519828	56	15	34	27	9
1759632	44	14	33	20	11
4369211	30	11	28	17	10
5161020	31	14	20	13	10
3760738	36	15	22	20	9
6719403	26	12	26	17	10
1834233	37	11	30	16	11
6213897	32	15	28	22	13
5622010_1	53	20	33	27	10
5622010_2	53	20	33	27	10
5622010_3	53	20	33	27	10
5972303	53	19	32	22	9
3423665	40	20	34	24	10
890311	31	13	24	19	9
3712852	28	10	24	16	12
4686407	32	10	24	17	9
5942966	32	10	36	19	9
14712	32	13	34	17	13
1833682	32	11	24	20	14
602289	25	16	21	24	11
2626488	33	10	24	15	13
4624316	33	12	28	16	11
3607902	44	15	27	15	14
4615123	47	15	40	16	13
2037671	52	23	32	17	11
2426125	28	15	16	19	11
2571875	29	12	29	15	12
5586564	51	19	29	19	12
1036450	36	19	25	12	10
2977494	53	17	43	18	11
6337470	48	22	43	27	9
1315786	27	14	31	18	12
4121455	27	12	28	14	12
612301	50	16	29	19	11
4848010	41	18	30	25	9
6731360	42	16	34	20	14
4857542	45	17	40	16	10
7050430	32	11	21	9	14
4223434	33	17	36	19	9
1677573	34	23	24	14	11
5181377	32	10	37	20	9
6205488	46	13	41	19	9
2261732	44	20	27	26	13
1967959	49	14	30	22	16
5217658	40	20	28	22	15
1762125	27	13	26	14	9
6094413	34	14	33	14	11
3492333	48	17	40	17	14
988033	40	13	31	17	11
703467	46	19	32	26	9
3030619	30	16	33	13	16
5809467	39	12	25	16	10
3665100	33	18	32	23	9
870650	37	14	29	17	10
4810956	40	10	30	21	11
4133405	52	15	36	26	15
5679997	32	13	34	20	10
6259109	33	17	27	15	12
4150102	55	14	37	21	13
6465991	36	15	31	10	9
803786	41	13	38	9	11
1749042	30	16	26	14	15
6760634	34	12	31	18	12
5390669_1	57	21	31	16	12
5390669_2	57	21	31	16	12
1744416_1	48	17	39	17	12
1744416_2	48	17	39	17	12
4486486	31	12	29	24	14
1815761	35	14	23	17	13
6739683	45	16	32	19	13
2517057	22	9	30	20	10
746948	42	19	33	24	13
3511434	43	18	26	14	12
4074865	37	9	19	18	14
3455658	29	15	30	25	11
2023697	50	20	30	18	14
6361034	45	12	40	25	12
5894913	36	13	23	14	16
5803834	26	10	33	19	12
6276889	26	19	25	22	13
6346755	34	13	30	14	13
2593531	48	19	30	25	14
276829	33	15	34	23	11
4185039	36	11	18	18	15
5515488_1	40	19	25	21	14
5515488_2	40	19	25	21	14
335950	30	10	22	13	9
6312261	32	13	19	15	11
3497044	32	19	35	27	9
2031598_1	34	12	30	12	9
2031598_2	34	12	30	12	9
2031598_3	34	12	30	12	9
4314077	30	23	31	19	9
6492238	34	18	35	20	10
158659	39	11	39	23	9
3484217	35	18	29	13	11
4864219	44	13	27	20	12
7086732	47	14	38	9	13
4202397_1	42	23	32	18	9
4202397_2	42	23	32	18	9
2562882	37	21	43	19	13
6854649_1	41	22	40	21	11
6854649_2	41	22	40	21	11
6854649_3	41	22	40	21	11
402683	36	22	33	24	12
2973668	32	16	22	24	10
5630428	30	16	27	13	12
5601342	45	21	20	22	12
4493273	33	17	20	12	12
125077	50	19	31	10	15
5916646	46	23	45	24	9
2338626	29	12	35	13	9
5810714	54	17	31	23	11
1397652	44	24	25	17	14
4897329	42	15	26	18	9
3100762	39	11	30	18	16
