TARA_142	TARA_146	TARA_147	TARA_4	TARA_80
3767954	12	15	14	101	12
2777098	21	9	17	105	18
2328040	17	16	24	99	10
4159252	16	13	27	137	11
5546681	10	21	54	91	9
5643184	10	28	37	102	10
6590017_1	20	10	18	90	13
6590017_2	20	10	18	90	13
2619430	17	10	25	100	10
1869903	9	17	46	114	9
1286065_1	19	22	20	97	11
1286065_2	19	22	20	97	11
1286065_3	19	22	20	97	11
2449153_1	14	21	17	96	10
2449153_2	14	21	17	96	10
2786595	11	25	37	108	10
2695723	20	20	33	114	16
3357949_1	14	19	24	143	12
3357949_2	14	19	24	143	12
3357949_3	14	19	24	143	12
4425936	15	13	23	146	12
6404452_1	17	18	28	114	17
6404452_2	17	18	28	114	17
6404452_3	17	18	28	114	17
6530105	10	17	14	140	9
2896361	13	25	36	108	10
2150877	15	27	57	101	12
2171230	12	18	39	129	14
6608528_1	15	17	25	100	17
6608528_2	15	17	25	100	17
4254038	9	10	13	88	20
2655326_1	18	17	45	110	19
2655326_2	18	17	45	110	19
5278040	11	18	18	119	14
3106707	14	31	61	79	15
1462417	9	15	21	135	9
6195678	14	18	30	99	10
3491795	11	15	31	91	12
3677655	18	22	33	98	13
6383907_1	20	23	52	114	10
6383907_2	20	23	52	114	10
6383907_3	20	23	52	114	10
3453286	13	13	21	118	11
3720967	15	17	34	126	10
1072584	19	32	52	113	12
4835859	15	22	47	109	13
4366150	9	24	35	108	14
6596979	14	15	27	82	9
3368449	13	21	49	121	14
2737794	23	20	15	131	9
3173806_1	23	12	27	112	15
3173806_2	23	12	27	112	15
3173806_3	23	12	27	112	15
3158750	12	12	15	82	9
1886102	20	31	42	112	16
1905268	22	24	37	110	16
2548305	9	21	36	109	9
3319204	12	10	16	89	13
976562	13	28	64	116	15
3303645	11	22	58	113	13
6194544	10	13	20	91	14
1616122	18	25	46	81	9
1207076	16	15	31	82	11
3435855	13	24	49	99	10
5563363	10	17	22	124	10
2616899	14	21	58	123	13
4070217	12	20	49	100	12
2215639	15	21	42	98	10
6468557	22	19	48	121	18
