TARA_145	TARA_147	TARA_150	TARA_151
2759151	41	24	14	21
2286535	29	13	14	12
1266268_1	14	33	16	14
1266268_2	14	33	16	14
1077978_1	25	28	24	9
1077978_2	25	28	24	9
1321174	25	12	18	15
669359	22	39	23	18
258126	18	12	12	12
534672	36	21	17	13
1348326	83	25	23	11
2669824_1	47	12	18	9
2669824_2	47	12	18	9
2484288	28	25	41	21
416740	23	10	21	11
1492871_1	25	24	19	11
1492871_2	25	24	19	11
2729563	75	23	25	24
654456	32	13	13	13
75745	18	22	12	10
2637404_1	25	17	27	13
2637404_2	25	17	27	13
2608972	85	31	20	16
785646	48	13	18	9
1016472	30	31	24	10
7786	112	14	14	11
1697687	79	16	20	15
2133926_1	126	16	38	17
2133926_2	126	16	38	17
2133926_3	126	16	38	17
695466	37	22	11	9
803181_1	87	21	32	22
803181_2	87	21	32	22
2056327	20	13	19	12
1420530	23	9	18	10
1451399_1	20	13	22	12
1451399_2	20	13	22	12
1451399_3	20	13	22	12
1377445_1	90	32	27	20
1377445_2	90	32	27	20
1344342_1	91	16	18	11
1344342_2	91	16	18	11
755726	27	24	19	11
2009751	121	14	27	17
807649	69	25	15	16
1444207	96	21	30	18
794272	31	13	21	10
2009654	122	17	22	10
1475975	96	19	37	20
533491_1	98	23	23	20
533491_2	98	23	23	20
533491_3	98	23	23	20
1177974	53	18	16	13
262248	44	23	14	10
203531_1	85	16	19	11
203531_2	85	16	19	11
2343992_1	79	17	21	9
2343992_2	79	17	21	9
2343992_3	79	17	21	9
2373065	94	25	27	21
2936172	25	29	19	11
1865145	111	31	30	25
2471543	54	33	29	21
475464	41	14	30	9
1252579	87	11	23	18
405290	68	23	21	14
2587158	50	21	32	9
962300	29	22	19	10
2443322_1	77	29	41	26
2443322_2	77	29	41	26
717220	15	10	10	13
1051949	27	17	23	17
542232_1	50	30	34	14
542232_2	50	30	34	14
542232_3	50	30	34	14
640192_1	29	39	33	21
640192_2	29	39	33	21
190941_1	42	38	34	16
190941_2	42	38	34	16
1411080	34	27	25	15
2605228	54	10	12	12
2235118_1	28	23	29	16
2235118_2	28	23	29	16
1308327	151	16	27	10
1967913	90	21	28	17
115361	110	13	20	10
444697	57	29	17	15
1678920_1	23	26	24	15
1678920_2	23	26	24	15
1678920_3	23	26	24	15
405065	73	16	14	15
2767546_1	21	13	11	12
2767546_2	21	13	11	12
644223	47	35	24	16
1797211	21	14	17	17
1528475	67	15	9	9
1877748	82	28	28	14
72738	73	31	37	14
1512655_1	31	30	22	12
1512655_2	31	30	22	12
2210378	44	10	30	18
2270058	25	23	41	19
569666	123	13	20	13
2032771	9	13	24	11
481528	42	15	13	11
226511	75	15	30	13
2290847	33	23	33	24
2607400	59	26	34	15
2926333	14	19	14	14
2891628_1	36	20	22	19
2891628_2	36	20	22	19
2265536	65	39	31	17
1093523_1	77	15	16	9
1093523_2	77	15	16	9
405073	45	12	41	21
88351_1	21	17	21	17
88351_2	21	17	21	17
129706	32	12	16	14
2289421	107	33	28	23
310697	85	17	24	13
1555600	76	28	20	23
772027	24	13	20	13
2692708	43	24	11	9
980377	43	24	35	11
228475	57	24	22	11
1477579	56	26	19	21
462180	46	12	11	13
