TARA_142	TARA_144	TARA_146	TARA_147	TARA_148	TARA_149	TARA_30
2476019	23	12	44	20	17	34	15
4405972	15	11	30	12	16	28	20
6981768	9	10	35	36	13	38	15
3584332	13	11	29	24	16	24	13
749330_1	9	19	22	24	17	15	21
749330_2	9	19	22	24	17	15	21
6839155	9	9	32	19	11	26	11
2035356	10	10	36	18	10	17	12
2593538	10	11	22	11	12	14	13
751680	9	14	31	28	16	27	18
2053072	12	21	58	29	21	33	31
1885794	14	14	30	30	14	24	30
1669134	21	15	47	35	23	29	16
1620612	9	9	32	25	13	17	11
1962083	13	12	27	26	14	18	9
709763	11	10	39	31	20	16	16
4749313_1	12	10	34	27	19	17	27
4749313_2	12	10	34	27	19	17	27
6837056	19	15	31	24	23	27	12
5401475	10	17	19	26	20	14	12
2749767	20	20	53	50	14	45	20
3186463	11	13	22	27	10	17	16
5203969	10	18	35	20	12	19	15
7119194	11	17	43	39	25	35	11
1645753	12	9	31	21	16	16	12
2700574	10	14	22	14	11	18	11
4691077	12	16	42	19	22	12	18
4387934_1	11	15	38	35	23	28	20
4387934_2	11	15	38	35	23	28	20
1593327	14	10	36	35	19	23	21
4279074	9	12	26	26	13	18	9
7001030	17	16	36	49	9	26	11
3548344	15	20	44	39	12	28	15
4819780	17	14	31	30	11	39	27
6892775	9	13	24	35	10	31	13
3091566	21	10	35	25	20	15	18
2805271	10	15	26	19	17	13	24
5948099	15	11	40	20	15	21	15
6052540	11	20	48	43	15	44	28
2595058	18	22	41	42	9	28	11
2651821	15	10	21	24	18	28	22
4906539	11	16	34	32	17	23	18
2135557	9	16	33	27	12	22	18
2413096	15	14	40	27	22	37	13
5215141	17	18	40	37	14	26	15
1964826	20	22	44	32	9	44	9
7022087	10	12	32	24	18	32	24
896114	22	18	57	26	24	37	20
1750039	9	10	28	32	9	28	11
3368510	14	9	36	50	17	26	20
4707758	14	11	35	27	10	26	9
4460089	23	16	54	52	10	26	14
1308554	15	21	47	30	10	22	27
5171120	11	12	31	16	13	29	13
5344432	15	14	47	32	15	23	19
934596_1	17	16	40	37	23	36	11
934596_2	17	16	40	37	23	36	11
2069545	9	11	33	21	10	20	10
4549006	16	23	47	43	13	38	20
4802844	12	19	46	36	20	30	9
4799607	11	12	27	28	15	19	24
81610	18	25	49	36	21	35	13
667495	9	13	31	23	19	33	12
2537123	11	12	26	20	11	23	15
4293326	9	18	44	26	16	22	14
2399853	13	14	40	29	9	37	12
3771898	11	18	42	29	21	21	23
453534	13	16	40	30	17	24	13
6249975	16	22	39	36	17	39	27
3069403	14	9	41	21	14	19	19
6039665	17	20	47	39	23	40	23
3511747	14	21	51	39	22	27	22
3532887	12	15	33	25	9	25	16
1003812	10	10	39	43	16	23	12
1802191	11	11	33	18	18	19	16
1627499	16	12	43	25	19	22	16
4962585	15	25	42	27	12	28	19
1271489	12	15	28	36	14	22	25
4390472	9	10	47	24	11	36	18
2871072	13	13	26	38	22	28	18
4069991	21	22	60	38	23	45	16
2526667	16	16	54	44	24	27	23
987223	15	11	21	27	11	26	13
6588463	18	10	33	34	23	32	23
2112125	18	17	48	43	27	36	24
7029234	14	19	32	20	21	21	16
6529339	11	19	53	36	17	37	28
6049358	9	12	49	33	14	20	21
280397_1	10	14	27	29	18	22	17
280397_2	10	14	27	29	18	22	17
1568025	9	9	31	28	13	24	10
