TARA_144	TARA_18	TARA_26	TARA_30	TARA_70	TARA_76
6488506	0	0	0	0	0	0
5283634	0.769230769230769	0	0	0	1	0
279824	0.181818181818182	0.916666666666667	1	1	0.0909090909090909	0.909090909090909
4218243	0.818181818181818	0	0	0	1	0
4463191	0.333333333333333	1	1	1	0.117647058823529	1
2693785	0.454545454545455	1	1	1	0.133333333333333	1
3180768	0.222222222222222	1	1	1	0.125	0.818181818181818
1200025	0.666666666666667	0	0	0	0.916666666666667	0
405192	0.466666666666667	1	1	1	0.0909090909090909	1
143267_1	0.888888888888889	0	0	0.0769230769230769	0.875	0
143267_2	0.888888888888889	0	0	0.0769230769230769	0.875	0
1408080	0.181818181818182	1	1	1	0	0.909090909090909
1358212	0.222222222222222	0	0	0	0.9	0.333333333333333
720518_1	0.125	1	1	1	0.0769230769230769	1
720518_2	0.125	1	1	1	0.0769230769230769	1
5949859	0.6	0	0	0	0.923076923076923	0
929008	0.333333333333333	1	1	1	0.125	0.888888888888889
4245745	0.7	1	1	1	0	1
5319060_1	0.818181818181818	0	0	0	0.928571428571429	0.222222222222222
5319060_2	0.818181818181818	0	0	0	0.928571428571429	0.222222222222222
6622850	0.8	0	0	0	0.85	0
4892412	0.7	0	0	0	0.928571428571429	0
6157321	1	1	1	1	0.230769230769231	1
6049146	0.111111111111111	0	0	0	1	0.222222222222222
6149567	0.384615384615385	1	1	1	0.125	1
1797594_1	0.333333333333333	0.833333333333333	1	1	0	1
1797594_2	0.333333333333333	0.833333333333333	1	1	0	1
5471453	0.75	1	1	1	0.133333333333333	1
5191036	0.333333333333333	0	0	0	1	0.181818181818182
2356541	0.75	1	1	1	0.105263157894737	1
5712454	0.166666666666667	0.916666666666667	0.909090909090909	1	0.0625	1
2961556	0.444444444444444	1	1	1	0.0769230769230769	1
687854	0.454545454545455	0	0.2	0	0.823529411764706	0
259458	0.333333333333333	1	1	1	0.0833333333333333	0.857142857142857
2152467	0.818181818181818	0.0714285714285714	0	0.111111111111111	0.894736842105263	0
2710829	0.333333333333333	1	0.818181818181818	1	0.0555555555555556	0.916666666666667
444422	0.0714285714285714	1	1	1	0.352941176470588	1
1349094	0.785714285714286	0	0.0909090909090909	0.416666666666667	1	0.0833333333333333
4811258	1	0.214285714285714	0.222222222222222	0.266666666666667	0.857142857142857	0
2908414	0.727272727272727	0	0.0833333333333333	0.0666666666666667	0.888888888888889	0.153846153846154
1621966	0	0.75	0.666666666666667	0.909090909090909	0	0.3
2495152	0.466666666666667	0	0	0	0	0
5340495	0.444444444444444	0	0	0.0769230769230769	0.894736842105263	0.222222222222222
5925897	0.615384615384615	0	0	0	0.611111111111111	0
1438689	0.666666666666667	0.666666666666667	0.818181818181818	1	0.0555555555555556	0.818181818181818
5409389	0	0	0	0	0.777777777777778	0
1026862	0.333333333333333	0.888888888888889	1	1	0.0769230769230769	0.777777777777778
4577780	0.555555555555556	1	1	1	0.25	1
3723541_1	0.5	1	1	1	0.0625	1
3723541_2	0.5	1	1	1	0.0625	1
5956114	0.75	1	1	1	0.166666666666667	1
4290364	0.777777777777778	0	0	0	0.722222222222222	0
2261971	0.416666666666667	1	1	1	0.3	0.923076923076923
1348666	0.307692307692308	0	0	0	0.882352941176471	0
5690913	0.333333333333333	1	1	0.866666666666667	0.0625	1
1325371	0	0.733333333333333	0.5	0.7	0.166666666666667	1
2374786	0.642857142857143	0	0	0	0	0
5943078	0.6	0	0	0	0.6	0.1
2419054	0.666666666666667	1	1	1	0.588235294117647	1
3291936	1	0.333333333333333	0	0.272727272727273	0.923076923076923	0.538461538461538
612697	1	1	1	1	0.4375	1
800129	0.888888888888889	1	1	1	0.666666666666667	1
727284	0.0909090909090909	0.875	1	0.454545454545455	0	0.6
6295508	0.777777777777778	0.0833333333333333	0.111111111111111	0.230769230769231	0.857142857142857	0.0714285714285714
2853160	0.555555555555556	0	0	0	0.733333333333333	0.1
471658	0.923076923076923	1	1	1	0.266666666666667	1
1134876	0.666666666666667	0.866666666666667	0.9	0.923076923076923	0	0.8
2753049	0.363636363636364	0	0	0	0.5	0.0909090909090909
4074727	0.666666666666667	1	1	1	0.230769230769231	1
4689377	0.545454545454545	1	1	1	0.388888888888889	1
2612438	0.666666666666667	0.916666666666667	0.5	0.8	0	0.3
6279408	0.571428571428571	0	0	0	0.529411764705882	0
