TARA_150	TARA_4	TARA_23	TARA_25	TARA_68	TARA_70
1549974	29	15	15	15	32	13
1699674	20	12	12	13	49	14
5141402_1	31	11	18	19	33	15
5141402_2	31	11	18	19	33	15
3233263	27	12	17	17	40	14
2376315	34	10	11	19	44	15
2029170	23	9	14	18	42	11
4212025_1	33	11	9	17	45	12
4212025_2	33	11	9	17	45	12
2794443	21	12	10	10	40	11
6211841	21	11	9	15	39	12
1001961	25	14	15	15	33	13
2465791	29	9	21	12	40	16
5758249	24	15	17	17	43	10
1209133	28	15	16	12	33	15
881879	27	16	11	15	36	14
2663576	27	12	10	20	35	13
197763	26	11	13	20	43	16
2812934_1	25	13	11	11	40	11
2812934_2	25	13	11	11	40	11
3917393	33	14	10	19	54	11
728666	35	9	19	13	44	17
5713418	21	9	10	17	32	11
1153666_1	27	11	20	17	50	15
1153666_2	27	11	20	17	50	15
1153666_3	27	11	20	17	50	15
3373205	21	14	16	18	44	15
899090	24	13	11	21	34	12
1769933	27	13	15	19	35	9
5262502	22	9	16	17	47	17
1227714	25	9	12	14	49	10
1009671	25	14	19	12	49	10
2263362	24	10	9	18	35	9
6330795	32	15	17	11	33	11
4354146	25	14	18	12	44	9
725526	24	10	18	16	40	15
327362	27	9	14	15	37	12
615527	28	13	10	14	46	11
4927394	26	16	12	18	44	14
1000997	29	10	9	15	32	11
5797593	22	16	9	24	41	16
227984	27	10	19	17	50	16
3233385	23	10	11	11	35	9
888484_1	27	9	9	10	33	9
888484_2	27	9	9	10	33	9
1228822	33	14	18	13	38	11
2118917	26	10	15	13	40	12
5360160	23	9	13	12	35	16
5209765	28	11	9	18	46	12
709200	28	16	13	15	34	12
6212513	24	9	10	9	34	12
2616447	33	15	16	17	41	10
4336588	27	12	12	15	37	9
1094993	30	9	10	10	39	15
276043	27	9	15	12	35	9
5435925	36	9	18	17	50	14
2264593	35	10	9	23	51	15
1059128	28	9	13	21	54	15
3739118	31	9	14	19	59	9
1111862	30	10	19	23	60	15
1118177	29	11	16	15	34	11
3141614	30	17	14	20	46	12
76250	27	15	13	11	60	9
1146871	32	9	14	18	53	12
5951576	25	14	17	16	48	12
5134396	23	10	13	17	34	9
452325	36	9	13	15	39	13
22906	29	14	19	14	48	14
799291_1	25	11	11	16	34	9
799291_2	25	11	11	16	34	9
5735932	25	9	16	20	57	12
808554	31	15	16	17	54	10
233421	35	9	10	11	50	13
4913500	27	10	16	18	34	17
273733	30	10	14	16	43	15
827907	26	11	13	10	37	14
2043591	25	12	10	9	56	12
495457	28	10	10	24	55	15
2674893	20	14	18	19	49	10
228410	22	16	12	16	36	11
883127	23	11	9	16	51	12
2501323	24	10	15	20	42	14
1268982	32	13	13	10	33	9
1479526	25	12	18	19	56	16
6219390	30	14	21	11	48	15
2819456	23	9	21	11	33	16
18030	34	12	12	15	49	9
4739345	23	15	11	19	43	12
5450074	36	13	21	11	47	11
2959153	23	13	17	17	50	9
2308621	28	17	20	13	47	9
5187838	26	9	20	11	48	17
2811438	23	13	10	20	50	13
1557561	23	12	17	13	35	9
