TARA_72	TARA_143	TARA_144	TARA_20	TARA_70	TARA_76
6109227	71	13	17	10	47	12
3947844	67	14	17	10	25	10
3168469	68	9	16	14	30	13
2036492	76	19	20	12	31	11
4799882	69	16	18	16	32	10
6777290	74	9	22	15	33	11
1960225	81	17	24	14	39	11
1012254	71	13	20	15	36	12
7117601	69	15	27	12	32	12
2198407	65	16	18	12	37	13
2841885	58	10	15	10	26	10
6362739	75	11	18	16	31	9
3122347	59	12	23	9	36	10
2706535	78	13	27	10	25	12
6020130	63	10	23	11	42	10
4961141	59	17	18	14	41	9
4162354	74	15	20	10	35	15
3913269	72	13	25	9	36	12
5438133	73	16	24	14	46	12
6044831	63	10	24	10	32	10
6001220	73	11	20	16	46	9
6094046	76	18	24	9	28	10
1663410_1	64	15	18	12	31	11
1663410_2	64	15	18	12	31	11
1522757	65	10	27	9	45	11
4540572	73	15	23	14	43	11
5004669	67	9	15	10	34	13
1907131_1	75	11	26	15	30	11
1907131_2	75	11	26	15	30	11
3975823	75	15	20	13	30	9
3515931	71	11	19	12	39	11
6707047	66	10	19	17	30	9
1055079	71	9	30	12	36	10
2907050	80	10	30	14	40	10
4713038	72	15	19	12	28	9
2653406	57	15	19	13	27	11
568898	79	10	30	10	33	16
3137301	65	13	25	11	29	16
765127	71	14	25	12	44	14
601382_1	82	19	22	10	38	12
601382_2	82	19	22	10	38	12
5156747	83	16	24	10	37	15
224642	70	17	28	11	25	12
6113144	64	9	19	13	37	14
3638267	68	13	19	16	39	9
5918883	80	11	20	16	31	12
2310236	71	12	29	13	40	9
5174569	73	15	24	16	28	15
2659254	78	15	26	15	46	16
2754052	59	9	24	11	40	13
3490960	75	16	18	16	33	10
5186810	73	11	17	9	31	12
6287497	66	9	21	12	28	11
1404888	67	16	22	13	34	11
3565839	82	10	19	11	30	9
1691810	67	18	24	16	31	14
5786057	56	13	15	12	34	15
2241774	57	12	16	10	36	13
3246150	66	9	22	12	43	13
4435709	75	10	18	15	33	12
201010	71	17	29	15	40	13
2538362	81	16	23	9	34	10
1701561	70	10	22	16	44	14
297513	74	11	25	15	40	11
5863738_1	79	14	27	14	42	16
5863738_2	79	14	27	14	42	16
2804867_1	62	11	25	12	45	12
2804867_2	62	11	25	12	45	12
4900094	80	11	25	11	37	17
2823761	68	12	23	10	38	9
4193429	59	15	23	9	38	11
3589697_1	74	11	24	13	25	10
3589697_2	74	11	24	13	25	10
3670866	80	12	26	14	38	15
40636	60	10	24	10	28	12
5130639	76	17	20	10	35	12
1785731	58	10	26	14	36	11
2554673	58	13	22	10	30	13
6549749	75	13	24	10	31	14
6721562	68	13	17	15	36	12
1486807	73	10	23	9	45	14
2004292	67	9	22	9	25	10
3076589	75	13	29	16	38	10
1638370	68	10	27	16	41	17
3097032	76	12	23	9	24	13
4254545	65	14	27	14	42	11
4379034	63	13	27	9	27	12
2776252_1	66	12	28	10	28	13
2776252_2	66	12	28	10	28	13
42626_1	74	11	25	10	26	12
42626_2	74	11	25	10	26	12
42626_3	74	11	25	10	26	12
2958666	75	16	24	9	46	12
4746252	75	12	23	17	47	11
3601421	63	9	18	10	25	12
5053055	58	10	25	16	27	9
6047641	82	12	22	12	28	14
6523794	78	18	21	14	44	9
5885640	74	12	16	11	28	12
1279945	67	11	25	12	36	15
5453797	81	13	20	11	32	9
5240144	78	12	28	11	28	11
2773581_1	61	11	21	14	30	11
2773581_2	61	11	21	14	30	11
2773581_3	61	11	21	14	30	11
1045082	68	10	19	16	42	12
3692792	64	16	27	14	36	13
3514470	75	9	22	12	43	16
1962318	79	13	20	10	29	11
1391332	56	13	24	12	38	14
5698086	65	14	19	14	42	11
4362750	78	14	24	14	40	10
5805368	80	12	28	12	35	13
318340	80	10	28	15	43	12
2333567	59	10	23	9	25	11
459045	65	13	23	12	45	10
844348	58	15	22	9	42	9
6662866	78	12	24	12	33	16
521795	78	18	21	9	37	13
3415161	74	18	24	9	36	16
5575718	76	16	27	15	30	12
4003790	62	14	16	12	29	9
6195852	60	14	23	14	31	10
4788976	76	18	23	11	35	10
6451871_1	70	13	24	9	26	10
6451871_2	70	13	24	9	26	10
2418476_1	77	11	23	15	39	11
