TARA_145	TARA_146	TARA_147	TARA_66	TARA_67
6350017	13	15	23	15	15
5664658	12	15	15	10	11
3514827	14	9	14	15	15
5708201	12	12	14	11	13
4540022	9	9	19	13	11
5666051_1	9	20	22	14	15
5666051_2	9	20	22	14	15
3474360	9	11	13	9	14
5162698	12	12	20	12	15
3208112	13	10	12	9	10
3100849_1	12	17	19	12	10
3100849_2	12	17	19	12	10
843304	16	13	14	14	10
6368772	9	17	11	13	13
4291264_1	9	15	10	12	13
4291264_2	9	15	10	12	13
3857089_1	10	9	14	10	9
3857089_2	10	9	14	10	9
1714198	12	13	26	12	12
5789742	14	17	13	9	9
1419126_1	14	15	12	10	10
1419126_2	14	15	12	10	10
5038274	9	12	16	15	13
1675911	12	16	13	11	11
2846227	13	16	15	16	11
6458062	14	14	26	15	11
4830593	9	9	19	16	11
5369400	12	14	19	12	10
2578029	13	20	19	13	13
2241943	10	13	15	9	11
6333304	15	13	17	13	10
3340248_1	18	20	17	9	9
3340248_2	18	20	17	9	9
2839759	10	22	15	14	10
3774985_1	12	14	18	11	10
3774985_2	12	14	18	11	10
4639496_1	12	15	13	14	14
4639496_2	12	15	13	14	14
2267644	13	18	14	13	12
4823072	10	9	16	13	12
1642307	15	20	26	13	13
1235448	13	13	16	10	10
299550_1	14	22	25	11	9
299550_2	14	22	25	11	9
2150533	16	13	18	14	10
1879603	16	18	22	13	11
3612199	16	14	23	12	15
4537579	12	10	18	14	10
2866028	13	22	16	9	13
2336648	15	12	11	11	15
1170651	16	18	10	17	13
6143171	11	10	22	12	12
1239496	11	11	17	10	11
1286628	13	17	25	15	10
112301	14	10	21	9	11
3323900	9	12	22	12	9
213175_1	12	14	20	15	9
213175_2	12	14	20	15	9
2042317	11	9	21	15	15
203091	14	12	20	11	11
3911919	17	17	9	16	12
3479876	10	15	13	12	13
5757192	15	12	19	10	12
3251198	18	16	13	9	9
4575781	9	10	15	10	9
4141163_1	18	19	16	16	9
4141163_2	18	19	16	16	9
4238667	9	14	16	10	9
5687209	13	10	25	11	12
1965118	13	20	15	9	11
3576426	13	17	16	11	13
2490118	16	10	14	15	15
4093138	13	11	21	10	11
4954436	14	15	10	11	11
2767816	12	22	22	17	10
989206	12	21	11	9	10
4339346	10	15	21	11	10
4512285	17	20	16	12	13
2954168	11	11	17	12	13
5502598	11	11	20	10	12
632530	18	11	22	10	13
364126	10	10	20	14	11
2235419	14	10	13	14	15
3019675	16	18	23	12	11
2780887	13	14	16	16	9
4250659	9	21	11	10	10
4383722	17	19	23	10	11
6488274	9	17	17	11	15
1591757	9	18	16	14	13
3704290	12	15	11	10	11
3192718	11	11	16	9	11
5922424	12	9	12	11	11
4508266	16	16	13	12	9
2581201_1	12	16	20	11	13
2581201_2	12	16	20	11	13
892424	9	15	14	9	9
5999212	13	15	14	11	15
4131136	10	14	18	13	13
6241623	16	19	18	10	13
2884556	14	17	26	9	12
2930869	11	11	24	13	12
6242315_1	10	16	24	14	9
6242315_2	10	16	24	14	9
2090052	14	18	23	13	9
1651138	13	19	19	11	13
3421356	15	16	17	10	15
3536375	18	12	13	14	10
5688087	18	14	21	15	9
2330832	11	14	23	9	11
2155599_1	12	18	25	10	12
2155599_2	12	18	25	10	12
5126118	10	20	13	9	10
5496503	11	16	18	16	13
2769782	11	20	13	9	10
4277716_1	13	12	23	11	11
4277716_2	13	12	23	11	11
2973589_1	9	23	23	9	11
2973589_2	9	23	23	9	11
506589_1	16	18	22	12	13
506589_2	16	18	22	12	13
4259954	10	19	21	11	13
2903392	11	11	21	15	15
1725260	16	9	14	12	15
3953270	10	21	21	10	11
6239197	17	15	21	15	10
5409690	10	16	21	9	15
2330979	11	17	12	10	10
6438840_1	16	19	22	12	12
6438840_2	16	19	22	12	12
5770415	17	18	23	14	14
3932624	9	17	17	17	12
1861861	15	21	21	11	9
5539915	11	11	15	10	9
1560038	12	10	20	14	11
3273452	11	18	19	16	11
1086237_1	12	13	16	15	9
1086237_2	12	13	16	15	9
5314892_1	14	22	23	9	9
5314892_2	14	22	23	9	9
5314892_3	14	22	23	9	9
2986662	12	13	14	9	12
5095633	13	17	26	9	9
1116496	9	21	22	9	14
5939988	9	13	25	13	10
3490729	10	22	21	16	11
4047647_1	13	19	20	12	9
4047647_2	13	19	20	12	9
3182443	16	9	19	15	14
3051087	13	9	20	9	9
1225516	11	15	25	17	10
