TARA_144	TARA_150	TARA_20	TARA_25	TARA_68
1953268_1	0.0238095238095238	0.0666666666666667	0	0.131147540983607	0
1953268_2	0.0238095238095238	0.0666666666666667	0	0.131147540983607	0
2286760	0.419354838709677	0.162790697674419	0.823529411764706	0.72972972972973	0.285714285714286
2528297	0.4375	0.666666666666667	0.333333333333333	0.470588235294118	0.411764705882353
6439878	0.162162162162162	0.0789473684210526	0.222222222222222	0.52	0
5102772	0.769230769230769	0.3125	0.333333333333333	0.4	0.357142857142857
1856275	0.208333333333333	0.294117647058824	0.1	0.272727272727273	0.4
6408204	1	0.8125	1	0.722222222222222	1
2102559	0.828571428571429	0.774193548387097	0.833333333333333	0.51063829787234	1
2257856_1	0.421052631578947	0.296296296296296	0.4	0.6	0.928571428571429
2257856_2	0.421052631578947	0.296296296296296	0.4	0.6	0.928571428571429
5394617	0.886792452830189	0.951219512195122	1	0.634615384615385	0.9
4360843	0.117647058823529	0.181818181818182	0.545454545454545	0.279411764705882	0.153846153846154
2237796	0.4375	0.129032258064516	0.0833333333333333	0.166666666666667	0.368421052631579
1527763	0.473684210526316	0.535714285714286	0.733333333333333	0.466666666666667	0.875
831322	0.725	0.792452830188679	0.733333333333333	0.923076923076923	0.611111111111111
6640945	0.285714285714286	0.15625	0	0.234042553191489	0.133333333333333
3369683	0.818181818181818	0.758620689655172	0.882352941176471	0.696969696969697	0.583333333333333
2145057	0.5	0.666666666666667	0.818181818181818	0.580645161290323	0.181818181818182
3710376	0.538461538461538	0.5	0.923076923076923	0.653846153846154	0.75
2457006	0.9375	0.608695652173913	0.428571428571429	0.73469387755102	0.818181818181818
3824193_1	0.5	0.32258064516129	0.5	0.48	0.25
3824193_2	0.5	0.32258064516129	0.5	0.48	0.25
4946218	0.795918367346939	0.538461538461538	0.222222222222222	0.642857142857143	1
3693769	0.96551724137931	0.541666666666667	0.818181818181818	0.88	0.857142857142857
225604	0.615384615384615	0.391304347826087	0.9	0.714285714285714	0.727272727272727
6696946	0.458333333333333	0.944444444444444	0.764705882352941	0.658536585365854	0.888888888888889
1966487	0.392857142857143	0.384615384615385	0.555555555555556	0.75	0.666666666666667
2002051	0.484848484848485	0.428571428571429	0	0.464788732394366	0.444444444444444
3295843	0.735294117647059	0.575	0.785714285714286	0.621621621621622	0.166666666666667
398499	0.21875	0.127272727272727	0	0.382978723404255	0.0666666666666667
3392474	0.739130434782609	0.394736842105263	0.846153846153846	0.6875	0.818181818181818
137156	0.369565217391304	0.472222222222222	0.777777777777778	0.225806451612903	0.68
5096055	0.142857142857143	0.208333333333333	0.4	0.15625	0
6063478	0.233333333333333	0.25	0.461538461538462	0.482142857142857	0.75
2046600_1	0.840909090909091	0.754385964912281	0.416666666666667	0.5	0.666666666666667
2046600_2	0.840909090909091	0.754385964912281	0.416666666666667	0.5	0.666666666666667
5615244	0.259259259259259	0.153846153846154	0.777777777777778	0.446428571428571	0.5
1331237	0.476190476190476	0.5	0.636363636363636	0.409090909090909	0.2
848616_1	0.648648648648649	0.75	1	0.862745098039216	0.470588235294118
848616_2	0.648648648648649	0.75	1	0.862745098039216	0.470588235294118
1677494_1	0.444444444444444	0.476190476190476	0.777777777777778	0.790697674418605	0.5
1677494_2	0.444444444444444	0.476190476190476	0.777777777777778	0.790697674418605	0.5
280491	0.636363636363636	0.92	0.636363636363636	0.875	0.888888888888889
4042302	0.657894736842105	0.511627906976744	0.1	0.692307692307692	0.666666666666667
5530494	0.821428571428571	0.761904761904762	1	0.947368421052632	1
7062534	0.837837837837838	0.86	0.333333333333333	0.75	0.611111111111111
4760126_1	0.547619047619048	0.379310344827586	0.909090909090909	0.6	0.346153846153846
4760126_2	0.547619047619048	0.379310344827586	0.909090909090909	0.6	0.346153846153846
4383062	0.511627906976744	0.733333333333333	0.714285714285714	0.882352941176471	0.652173913043478
640952	0.536585365853659	0.21875	0.272727272727273	0.37037037037037	0.117647058823529
2756375	0.3	0.224489795918367	0.117647058823529	0.257142857142857	0
6326430	0.586206896551724	0.5	1	0.545454545454545	0.833333333333333
5212334	0.289473684210526	0.645161290322581	0.363636363636364	0.543478260869565	0.263157894736842
3411503	0.416666666666667	0.740740740740741	0.666666666666667	0.62962962962963	0.5
6873400	0.146341463414634	0.4	0.5	0.463414634146341	0.133333333333333
4153927	0.357142857142857	0.703703703703704	0.416666666666667	0.714285714285714	0.571428571428571
4728597	0.257142857142857	0.275	0.277777777777778	0.395348837209302	0.333333333333333
3713122	0.666666666666667	0.928571428571429	0.555555555555556	0.754716981132076	1
1546108_1	0.794871794871795	0.48780487804878	0.333333333333333	0.543859649122807	0.846153846153846
1546108_2	0.794871794871795	0.48780487804878	0.333333333333333	0.543859649122807	0.846153846153846
6171397	0.25	0.15625	0.3125	0.155555555555556	0
6312745	0.425	0.269230769230769	0.25	0.369565217391304	0.5
2917610	0.722222222222222	0.413793103448276	0.9	0.703703703703704	0.636363636363636
5476933	0.457142857142857	0.735294117647059	0.666666666666667	0.84	0.583333333333333
4641699	0.666666666666667	0.377777777777778	0.428571428571429	0.5	0.428571428571429
3401792_1	0.111111111111111	0.260869565217391	0.230769230769231	0.541666666666667	0.227272727272727
3401792_2	0.111111111111111	0.260869565217391	0.230769230769231	0.541666666666667	0.227272727272727
3401792_3	0.111111111111111	0.260869565217391	0.230769230769231	0.541666666666667	0.227272727272727
5582459_1	0.64	0.625	0.5	0.349206349206349	0.769230769230769
5582459_2	0.64	0.625	0.5	0.349206349206349	0.769230769230769
5582459_3	0.64	0.625	0.5	0.349206349206349	0.769230769230769
