TARA_4	TARA_7	TARA_9	TARA_82	TARA_83
198948	32	102	52	11	11
5557429	29	95	51	12	9
5210530	29	89	58	10	9
1152152	28	80	67	9	10
198164	32	98	51	14	12
4165278_1	28	99	51	9	9
4165278_2	28	99	51	9	9
1933272	33	96	48	9	10
6048252_1	33	99	48	12	9
6048252_2	33	99	48	12	9
4793437	27	79	59	10	12
1505956	24	89	53	9	11
1131567	26	88	47	9	14
1595599	30	82	59	14	11
1205701	27	101	64	13	13
1167987_1	29	94	50	10	14
1167987_2	29	94	50	10	14
3294140	35	102	64	12	9
1836787	36	83	69	10	12
6029042_1	25	90	49	9	9
6029042_2	25	90	49	9	9
1581032	28	98	54	10	9
3115446	25	107	53	9	11
5740115	35	80	63	9	11
5313994	32	82	65	13	11
733677	24	101	62	10	15
5714155	29	101	47	11	14
6235671	38	84	52	13	12
2460934	30	89	52	13	16
4706928	31	103	60	9	10
4247637	23	85	58	9	9
148105	35	80	54	9	9
4940214	31	93	51	9	11
4459267	23	103	60	13	12
5029248	32	90	54	13	10
3084055	31	81	63	9	10
3592160	31	97	63	10	14
3954205	25	82	47	12	13
4333010	33	84	67	9	12
1019168	27	89	48	9	9
1767924	27	91	62	11	11
5523211	38	98	51	10	13
4411995	26	101	62	11	13
4838693_1	36	92	60	12	14
4838693_2	36	92	60	12	14
2861756	39	90	64	9	10
794753	33	95	56	9	9
1219447	26	92	54	9	14
949434	36	99	48	11	13
1043161	35	97	51	13	10
1578681	38	79	57	9	10
1110372	36	100	59	13	9
1201591	31	87	48	10	9
3761124	26	96	59	9	10
4982919	26	88	47	12	12
6586036	24	105	58	10	12
1388925	38	81	61	11	9
2959496_1	24	88	55	9	10
2959496_2	24	88	55	9	10
671634	28	84	67	9	9
2737871	37	102	52	10	10
4355416	33	97	51	12	14
4079082	30	89	62	12	9
2651184	31	88	47	11	10
2029491	32	98	68	10	10
725027	38	102	57	11	10
2002684	27	108	54	13	10
5800173	32	79	59	11	9
3626167	28	83	63	12	12
271342	32	99	60	9	14
1962030	25	95	64	10	10
612953_1	32	94	64	11	9
612953_2	32	94	64	11	9
1222712	28	101	46	14	10
5059596	25	93	45	10	14
2931872	28	99	51	9	12
1362268	33	94	48	12	14
4911736	33	102	62	9	13
3217708	29	99	54	12	11
5231161	35	103	58	10	11
2641553_1	38	81	58	9	13
2641553_2	38	81	58	9	13
385911	33	99	62	10	10
1539760	24	94	58	13	9
28759	34	91	58	11	12
4786410	25	96	43	9	10
4467183	27	100	45	13	9
3284735	35	97	55	13	10
1689472	25	85	55	10	12
4681567_1	33	90	61	9	9
4681567_2	33	90	61	9	9
4681567_3	33	90	61	9	9
1518319	39	94	63	11	11
5645199	34	105	65	9	10
656271	34	97	61	13	10
2611578	34	89	65	12	15
4454389	34	79	55	12	12
1566895	32	79	61	9	12
4004965	37	102	63	10	9
699011	32	103	43	12	11
979173	35	100	48	12	14
3262844	38	97	50	12	12
647747	33	97	63	12	13
4344605	36	85	58	14	12
832364	32	81	53	14	16
5818233	39	92	58	10	11
5773896	30	101	59	10	10
1225807	35	102	52	11	10
3157981	30	102	46	12	14
3126345	29	93	54	9	13
1946463	23	94	64	10	10
4436456	34	103	60	11	12
3668423	27	95	47	10	9
5732512	35	99	56	9	14
2173489	36	86	66	10	10
4229167	26	88	54	9	10
1792965	23	90	48	10	11
5095337	32	96	56	12	11
2577230	31	87	60	13	11
5303078	31	93	58	10	11
1084571	25	95	50	9	16
629099	37	99	53	11	13
2260496	32	89	69	9	11
3273352_1	29	88	54	12	13
3273352_2	29	88	54	12	13
366124	31	108	47	14	11
1956436	35	86	54	14	10
5327833	29	91	70	9	12
5201831	32	97	53	11	9
1256580	27	93	62	11	15
226596_1	28	101	55	13	11
226596_2	28	101	55	13	11
5202536	28	89	50	13	12
4240555_1	30	86	48	14	9
4240555_2	30	86	48	14	9
4217735	31	90	70	9	9
1604263	36	99	55	12	11
348626	30	86	47	9	10
1617198	31	85	68	9	10
4995411	25	88	45	11	12
5040993	30	88	51	13	11
4571948	32	85	48	12	13
5533804	35	86	60	12	13
5213691	27	95	55	10	9
693369	35	84	55	14	12
394103_1	34	84	53	13	12
394103_2	34	84	53	13	12
394103_3	34	84	53	13	12
4520652	37	101	53	12	13
757448	23	95	43	9	9
4224234	30	91	68	10	14
1033033	28	91	47	10	12
4687848	26	94	48	12	10
414186	31	94	49	11	10
333358	27	98	51	9	14
2023294	26	95	46	12	15
1175207	33	104	45	13	14
385072	30	92	47	12	10
5640539	32	102	61	11	13
3159546	30	97	53	9	15
1209705	33	90	54	9	11
67072	31	86	66	9	9
2997898	23	90	62	13	9
5734390	31	88	53	14	13
574665	26	101	62	12	14
5855478	36	102	48	10	11
1916197	35	80	61	10	11
808758	35	96	50	12	11
4219657	33	104	58	9	10
3953952_1	34	104	53	11	15
3953952_2	34	104	53	11	15
4218500	30	92	46	9	13
1213157	33	96	56	12	9
1299633	29	91	67	12	9
2832370	34	102	62	12	9
4932170	34	102	56	9	13
28484	31	90	51	11	16
5655097	35	97	54	14	10
2226976	28	103	57	9	12
1000296	27	92	45	14	13
4156849	36	107	63	14	9
2263419	37	105	53	14	9
2831368	36	83	62	9	13
5143311	35	94	50	11	13
80366	27	100	49	9	11
4518096	23	95	60	10	11
964291	29	96	52	11	12
3725673	39	83	63	9	9
5185920	39	92	68	9	10
1253158	31	94	51	10	11
2660046	28	97	68	11	9
1207568	34	109	61	12	14
2004589	26	86	59	10	12
1814155	24	91	66	13	9
1310723	25	103	55	10	11
588285	33	91	59	9	10
6614558	27	89	44	14	12
2908355	31	98	46	14	9
139553_1	29	109	54	11	11
139553_2	29	109	54	11	11
139553_3	29	109	54	11	11
116694	29	99	62	12	15
5796739	37	96	56	11	12
1484273	30	93	65	10	14
2376346	34	99	61	9	12
3097354	37	88	67	13	13
2107902	29	86	50	11	10
3404540	29	89	47	10	10
1579446	25	92	63	11	9
362406	30	103	45	13	12
335076	29	108	53	11	12
1125628	31	97	55	9	9
480807	37	93	67	10	10
3573023	33	93	48	12	15
1595285	35	96	60	10	11
2877127	28	103	47	10	12
2284319	27	100	44	13	9
1230041	34	81	61	10	12
465100_1	30	106	59	10	11
465100_2	30	106	59	10	11
465100_3	30	106	59	10	11
969336	34	84	70	10	13
5316750	23	80	60	10	10
3026736	36	105	54	12	9
1158956	28	91	51	9	13
3423306	36	92	69	9	11
2601419	23	103	62	14	10
761244	35	96	60	12	12
570774	33	103	60	11	9
3549514	29	96	50	10	10
6139795	33	100	51	12	12
1126545	32	95	47	11	11
5755130	24	97	65	10	9
6362553	37	86	54	12	12
2834452_1	33	103	61	11	12
2834452_2	33	103	61	11	12
1302852	29	94	52	10	12
1156654	31	93	69	9	12
1157859	31	96	67	10	10
271732	29	93	51	10	13
2072955	36	88	62	11	11
4091382	29	83	63	11	14
6118593	25	98	44	9	12
1732220	34	101	55	12	9
5896306	34	97	47	11	9
977745_1	38	106	57	9	15
977745_2	38	106	57	9	15
5203932	29	86	69	9	11
2029773	30	99	63	9	12
3568850	36	92	65	9	10
3220493	27	95	68	11	10
2242971	37	85	60	11	13
5554236	24	88	44	10	11
1242461	35	102	51	11	11
5051851	30	105	49	14	9
5171946	35	87	62	11	12
4858197	29	83	63	11	10
5444047	36	99	50	11	14
2468816	29	82	48	14	11
19568	26	102	61	10	12
4442050	35	104	59	10	9
5541121	30	95	55	10	9
2896144	37	94	50	11	11
1111587	31	103	48	10	9
6289589	36	88	70	9	14
1245054	32	92	61	11	10
3889255	29	94	70	11	9
3187942_1	28	89	50	10	13
3187942_2	28	89	50	10	13
4668696	34	87	63	10	15
572542	39	95	49	10	12
1007127	33	106	60	9	11
3060160_1	37	98	51	10	15
3060160_2	37	98	51	10	15
6235302	35	94	48	11	15
313964	31	89	53	10	11
817027	29	97	48	9	11
2575550	28	95	60	9	10
5144268	34	85	68	10	13
320858	26	102	44	13	10
1006642	33	104	58	12	9
5500910	28	97	68	13	13
5397719	31	90	65	10	15
3956009	24	99	66	10	12
455639	30	95	53	11	11
3373081	29	94	50	10	15
5813187_1	24	99	62	12	14
5813187_2	24	99	62	12	14
2604361	29	97	53	11	9
2252183	34	103	53	9	15
3896844	32	102	59	14	11
5770585	29	90	49	12	12
