TARA_150	TARA_18	TARA_22	TARA_25	TARA_70	TARA_76
1768399	32	11	43	18	23	10
511216	44	9	41	16	30	14
2856395	27	10	23	11	16	13
1172780	39	9	25	15	18	9
502163	22	9	16	11	19	9
2393859	41	10	16	17	37	16
1012682	44	9	21	26	25	9
631172	35	10	29	15	15	12
1216201_1	26	11	20	18	14	9
1216201_2	26	11	20	18	14	9
1317182_1	45	11	30	25	40	12
1317182_2	45	11	30	25	40	12
1348352	63	14	34	11	33	14
980972_1	41	10	41	13	29	12
980972_2	41	10	41	13	29	12
1236570	45	9	37	19	22	11
2338264	43	10	24	14	27	11
2808647	57	10	33	17	29	17
2816202	56	11	35	23	46	16
573734	57	11	37	15	31	9
1420506	57	12	31	12	34	9
1039872	41	13	22	12	13	10
1964939	57	13	34	13	37	11
1633755	39	14	23	23	29	9
2694055	46	10	30	21	27	9
974444	41	11	29	17	24	12
1123092_1	43	10	35	23	26	10
1123092_2	43	10	35	23	26	10
2598377	40	11	30	13	43	16
748319	49	10	36	11	24	12
1274	58	11	36	19	37	12
1148016	44	9	44	14	47	9
455138	42	11	47	23	41	16
49238	46	10	24	15	19	10
1277224	32	10	44	19	32	9
2387339	53	9	33	22	30	11
1572567	46	9	38	20	29	13
529091	63	11	27	23	47	11
2561670_1	51	12	42	24	19	14
2561670_2	51	12	42	24	19	14
783071	50	9	46	18	25	16
2399649	60	15	31	23	27	11
628878	41	12	41	9	30	11
72587	39	10	30	21	37	16
809005_1	46	10	32	18	33	9
809005_2	46	10	32	18	33	9
2406131_1	39	10	35	17	44	9
2406131_2	39	10	35	17	44	9
383939	55	13	27	19	47	9
925860	50	10	47	15	42	9
2613855	57	12	34	23	40	9
395430	65	15	44	23	48	14
2815638	42	9	39	17	35	9
2570026	51	10	44	24	22	10
2305515	54	14	34	24	29	12
88299	57	11	27	14	36	15
2280047	41	9	23	12	39	11
800036	54	10	27	12	34	14
2049066	47	15	25	12	38	12
1088496	48	12	21	12	28	9
39414	51	13	39	24	19	13
2749456	48	15	44	23	21	12
29497	27	10	33	22	22	13
1540996	40	10	26	16	39	10
59777	53	11	35	16	43	11
522760_1	58	13	28	20	31	9
522760_2	58	13	28	20	31	9
522760_3	58	13	28	20	31	9
2252272	32	9	21	15	16	11
528009_1	31	14	22	18	20	9
528009_2	31	14	22	18	20	9
846747_1	37	12	38	19	49	11
846747_2	37	12	38	19	49	11
846747_3	37	12	38	19	49	11
1312460	37	13	41	22	30	12
1345212	63	13	34	21	35	14
1365646	42	9	24	13	33	13
210878	46	10	24	12	21	14
1237971	60	13	37	26	32	10
1555103	47	9	39	21	27	10
1395449	48	12	23	17	21	9
2123044	54	10	28	21	28	16
2396090	25	9	34	25	25	12
1625427	36	12	17	19	32	12
1937940	30	10	29	18	34	13
2762084	60	13	30	24	44	17
747630	54	11	29	13	31	9
270835	39	14	20	11	25	14
443562	54	10	26	11	28	10
465171_1	62	13	43	25	28	12
465171_2	62	13	43	25	28	12
2527279	63	9	32	18	46	11
822722	53	11	32	20	39	14
1410949	50	10	40	22	44	10
1654718	40	10	35	14	34	10
1989934	60	9	40	26	45	14
1224631	57	13	45	24	46	17
394299	48	12	44	19	46	11
192010	56	13	40	23	43	11
1184486_1	48	11	44	20	46	13
1184486_2	48	11	44	20	46	13
2307685	48	14	33	25	35	9
2630624	33	9	30	18	29	12
2184411	56	9	32	21	35	9
750400	48	11	28	16	41	12
569717_1	52	11	34	12	44	11
569717_2	52	11	34	12	44	11
569717_3	52	11	34	12	44	11
721799	56	9	36	21	42	17
408654	41	9	35	11	45	16
2385252	41	11	41	17	41	14
2658095	42	10	36	23	29	17
1258850	49	10	47	21	38	12
620738	28	15	29	20	21	9
2651934	45	12	43	18	40	14
2811239	63	10	37	25	41	12
372820	43	12	33	13	39	16
82024	61	15	38	13	39	10
1127205	56	9	41	13	33	13
1569102	39	9	22	20	30	15
1326438	35	10	33	25	17	11
1325189	55	9	41	28	49	11
1523982	42	11	39	28	44	13
995926	38	9	30	16	20	9
2361214_1	39	11	20	21	23	12
2361214_2	39	11	20	21	23	12
528745	36	10	26	23	29	11
251379	45	11	33	22	19	13
744429	45	11	44	21	35	10
2230938	59	13	34	15	40	14
1512471	36	11	34	14	16	11
1915860	49	12	32	19	29	10
610541_1	59	11	22	16	32	11
