TARA_145	TARA_152	TARA_66
995105	22	21	14
9682	20	16	10
966147	16	18	16
95965_1	16	27	14
95965_2	16	27	14
958314	24	18	19
952624	17	24	12
934985	19	20	11
929367	25	21	16
926610	24	18	11
924505	17	22	11
906451	20	19	12
88867	21	16	13
886084	17	20	13
8781	16	23	15
86350_1	22	28	19
86350_2	22	28	19
863165	17	22	14
851771	24	20	13
847273	14	28	19
826361	20	22	16
82633	15	22	10
820848	14	20	10
816596_1	23	21	18
816596_2	23	21	18
762102	14	20	14
749643	21	15	16
732372	19	16	16
7141	23	23	19
691666	23	22	18
675923	17	24	21
673485	15	28	15
66558	15	17	18
664408	21	25	17
6614255	20	24	13
6557039	20	22	14
6553769	17	24	11
6514701	25	25	10
650257	15	15	13
6493459	22	20	11
6482687	24	26	13
6479763	23	27	16
646904	17	29	20
6463123	19	24	17
645504	17	15	13
644902_1	22	15	11
644902_2	22	15	11
6436069	24	19	20
6425210	17	18	9
6419135	17	17	9
641831	23	28	15
6341113	28	28	14
6323334	21	18	14
6303245	23	19	18
6299582_1	21	26	13
6299582_2	21	26	13
6261827	26	19	15
6260798	21	19	13
6247271	19	17	12
620624	16	16	16
620610	18	20	12
6195927	16	23	15
6164688	23	20	12
6159703	14	15	16
6129786	14	22	18
6081255_1	27	21	12
6081255_2	27	21	12
6070923	27	17	12
6070798	15	22	17
6060670	24	29	16
6051643	23	20	13
6051249_1	18	15	11
6051249_2	18	15	11
6050988	23	25	18
60128	22	18	11
6009450	28	19	18
5993517	14	17	13
5987579	21	28	14
5983075	20	27	18
5977147	17	18	18
5958052	23	17	14
595792	21	19	13
5954276	20	17	12
5947699	18	16	11
5938462	19	27	19
5938389	19	18	20
5921573	17	19	15
5917865	20	26	11
5910518	22	30	17
5891146	16	23	16
5890885	19	22	14
588624	24	27	12
5877923	18	26	15
5873074	20	20	21
5868495_1	20	24	16
5868495_2	20	24	16
5865325	24	18	15
5849362	25	19	18
58492	23	21	10
5839227	21	18	10
5830387	18	18	12
5828334	15	26	16
5825525	16	22	10
5815700	20	17	19
5786512	15	16	20
5776265	22	16	10
5760515	18	26	19
5754931	17	23	14
5751854	26	21	15
574569	21	30	10
5735765	17	19	12
5722337	18	25	16
5710305	17	21	13
5703559	22	17	13
5693765_1	22	21	19
5693765_2	22	21	19
5693688	23	26	17
5669194	19	21	13
5663017	21	17	11
564065	21	22	15
5637345	17	18	16
5632122	21	15	16
5590471	16	23	16
5584800	22	28	12
5579179_1	16	18	13
5579179_2	16	18	13
557909	25	22	16
5571412	19	19	19
5566487	23	26	20
5564934	27	24	15
5536177	18	24	18
5524121	27	23	18
551744	16	23	13
5516308	28	22	11
5510374	15	26	20
5506625	20	17	16
5503467	24	18	11
5495526_1	15	23	15
5495526_2	15	23	15
5494667	25	29	14
5481463	25	23	14
5464987	15	23	14
545075	23	19	13
544294	28	22	12
5440133	18	25	18
5414281	19	21	15
540179	20	26	13
5400992	20	23	9
5391577	15	19	11
5388571	21	21	11
5388163	19	21	15
5384795	19	25	17
5352116	18	18	13
5350287	26	22	19
5313179	18	19	20
5307131	24	19	12
5302918	20	24	15
53012	18	25	15
5296522	24	17	12
5292319	19	27	16
5271559_1	19	23	18
5271559_2	19	23	18
5270332	18	18	10
524249	26	25	10
5231929	24	26	16
5231082	21	24	19
5226668	23	21	16
5199569	16	23	14
5199273	19	15	18
5192720_1	15	21	12
5192720_2	15	21	12
5181340	19	23	12
5172057	24	25	16
5155614_1	22	19	10
5155614_2	22	19	10
5140516_1	18	22	15
5140516_2	18	22	15
512454	22	18	17
5117973	20	24	18
510783	19	15	15
510321	17	18	11
5102316	21	19	14
510137	25	25	17
5091794	15	19	10
5074432	22	21	15
5061592	15	18	13
5057061	23	16	17
505214	17	31	18
5040732	14	22	16
5038089	25	24	16
5035002	19	23	14
5021217	16	20	20
501711	21	20	15
500189	16	24	12
4986285	22	22	14
4981388	16	22	14
4980047	15	27	18
4971820	17	23	16
4961600	25	16	14
495482	14	16	18
4925924	15	28	17
492137	19	25	14
4908215	19	17	20
4854724	21	28	15
484217	16	18	12
4836137	26	31	12
4824765	18	18	15
48150	28	24	16
4809090	22	25	14
4790128	17	24	10
47778	25	20	16
4771446	22	27	15
4758148	16	15	17
4752032	25	22	18
4749288	20	21	18
4748306	17	18	17
4747895	20	20	9
4742259_1	18	27	15
4742259_2	18	27	15
4738553	27	24	19
4735601	21	26	18
4732555	19	24	17
4730729	19	19	14
4728656_1	28	26	16
4728656_2	28	26	16
4727520_1	24	15	13
4727520_2	24	15	13
4725060_1	22	20	17
4725060_2	22	20	17
468028	21	21	15
4677810	23	17	12
4643109	19	18	17
4628591	24	28	10
4621350	16	21	11
4576224	23	26	13
457599	18	17	9
4571439	17	28	14
45553	25	23	14
4510970	22	19	19
450352	23	25	18
4479088	28	25	17
4474326	22	21	20
4473081	20	21	17
4458389	17	21	14
4450375	26	28	12
4445959	22	19	17
4442484	16	16	18
4441949	16	21	16
4424961	21	23	19
4421046	22	24	15
440913	24	18	18
439881	17	19	14
4392050	20	20	16
438510	17	24	18
4372934	17	28	12
4370109	17	24	16
4333458	16	19	11
429994	16	21	14
4289073	20	25	17
4287018	21	27	12
4281630	15	21	18
4270295	24	15	10
4245365	18	15	15
4233741	24	19	11
4227653	17	24	9
4212580	25	18	15
4187975	17	16	20
4186540	17	15	12
4144072	25	23	10
4134367	19	16	17
4126191	23	26	13
40846	24	19	14
4076908	17	18	14
406158	16	22	16
4048841	28	23	20
4047270	20	20	18
4043650	18	16	18
401788_1	20	18	12
401788_2	20	18	12
400886	19	31	17
3970552	17	27	12
3963303	22	20	16
39607	22	21	20
3960226	24	22	12
3950603	17	21	17
3936596_1	24	23	13
3936596_2	24	23	13
3827958	17	20	13
381952	18	18	11
3808381	25	20	13
380301	16	24	10
38024	18	27	18
3800748	23	15	15
379055	15	17	12
3784833_1	17	26	17
3784833_2	17	26	17
3781660	26	18	19
3772323	15	15	18
3758068	25	23	17
3750092	20	17	15
3707375_1	22	23	19
3707375_2	22	23	19
369885	20	26	9
368110	19	18	11
3680873	24	19	19
3658255	19	16	15
3643994	19	24	10
3641799	20	24	14
3631714	26	21	18
3631272	23	20	19
3590411	17	26	14
3576485	22	17	12
3561324	20	23	19
3539078	18	16	13
352871	19	25	12
3480482	24	24	13
3476246	21	21	13
3452328	18	18	12
344046	14	23	12
3419245	17	26	19
3411912	27	27	15
339837	16	26	21
3395237	24	25	12
338067	20	18	13
3377032	17	19	17
3353664	19	18	13
3345612	20	20	10
3321099	16	19	12
3298562	14	22	12
329542	17	23	10
3292912	21	19	10
3285443	18	29	18
3250013	22	21	15
3247816	20	29	13
323946	18	18	12
3238781	24	19	9
3222	24	17	19
321782	21	26	17
3211659	28	31	13
3203679	25	27	19
3193822	15	20	12
3192311	17	18	12
3189737	20	16	17
3186140	22	21	18
317282	21	18	13
316993	20	27	18
316754	15	24	14
3158009	23	20	15
3155672_1	18	21	11
3155672_2	18	21	11
3152030	22	18	12
313283	23	31	13
3123693	24	28	12
3112695	19	20	11
3105003	17	22	12
30722	18	17	10
3052694	22	24	16
3028101	21	27	11
2984742	17	17	14
2984328	19	17	18
2942783	23	16	15
2939300	15	28	14
2929705	15	21	10
2918829	17	25	15
2843560	21	28	11
284261	21	26	12
283819	20	15	13
2835783	24	25	20
282457	21	23	18
2822463_1	14	21	15
2822463_2	14	21	15
281975	27	24	17
2817089	22	24	15
2816128_1	20	20	17
2816128_2	20	20	17
2814523	15	28	17
2751218_1	23	20	17
2751218_2	23	20	17
2751218_3	23	20	17
2745007	20	25	14
2741583	24	22	14
2728546	20	24	10
2709411	24	19	11
2703081	18	20	11
2679882	16	26	19
2663820	22	21	10
2659302	24	21	20
2645394	18	17	21
2642861	14	24	15
2639242	15	15	15
2638449	20	20	10
2637733	26	27	16
2637300	19	27	15
261599	22	15	15
2601590	14	24	15
2600548	25	19	9
2591708	24	22	18
256636	24	21	14
256430	21	25	12
2558360_1	19	27	17
2558360_2	19	27	17
255747	23	18	13
254398	22	15	12
2508786	20	19	17
2507271	18	19	12
2505364	20	19	15
250048	23	19	14
2499752	23	20	20
2499580	21	22	15
2483168	19	20	13
248315	24	22	16
2456223	17	17	14
2446677	18	24	11
2440594	17	20	12
2397747	25	25	10
239728	20	18	17
2372393	18	27	17
2370898	17	21	14
2365948	16	30	16
2339879	21	20	15
2338111	26	21	10
2322472	20	19	13
232092	22	24	13
2313528	20	26	14
231240	14	23	17
2309415	22	22	10
2303665	26	24	17
2299107	16	26	13
2238285	26	17	15
2216514	24	16	16
