TARA_9	TARA_11	TARA_20	TARA_22	TARA_23	TARA_25
2021983	9	46	13	20	62	12
3387432	11	49	11	12	112	11
608747	12	38	11	13	51	11
4753397	9	35	11	19	100	14
5837878	13	45	14	14	47	10
509651	12	42	13	20	103	15
6187204	9	37	9	9	80	10
3469703	13	32	10	17	54	12
3593566	15	46	14	13	58	14
5873647	11	53	10	11	72	11
2383971	12	42	14	17	92	12
5261762	9	44	11	11	93	16
1339107	10	24	9	9	81	9
5778918_1	14	40	14	12	48	12
5778918_2	14	40	14	12	48	12
104574	10	33	9	10	64	10
1019500	13	33	12	18	55	10
4105005	9	29	10	15	115	16
3555100	10	43	9	11	75	11
3911833	10	44	15	22	108	10
6301962	10	35	10	10	63	12
3228754	13	32	10	21	37	9
4542849	10	44	10	22	115	10
3343150	13	32	13	11	71	9
1188303	12	31	16	12	81	15
6706493_1	14	53	10	18	97	12
6706493_2	14	53	10	18	97	12
4942588	13	30	10	15	53	9
3748336_1	12	39	11	13	132	13
3748336_2	12	39	11	13	132	13
10221	11	45	16	17	53	11
1408914	11	42	12	22	121	9
4878558	11	47	15	11	125	14
3074549	16	55	13	9	109	13
366953	10	45	12	12	122	13
3713207	9	38	13	19	104	11
2986270	12	44	15	9	45	10
2561422	12	38	12	16	117	11
3892544	10	41	13	16	133	15
5132936_1	14	34	13	10	98	12
5132936_2	14	34	13	10	98	12
5132936_3	14	34	13	10	98	12
1487798	10	50	13	18	108	16
6016636	14	54	11	17	76	11
6700205	9	37	13	18	93	13
339301	14	51	13	23	114	13
5725225	12	52	12	9	118	12
6346886	10	48	9	14	51	11
2235043	14	47	14	19	95	15
6778788	13	33	12	14	47	10
6179187	14	43	15	9	68	12
6366546	10	41	14	10	40	11
5606197	12	47	12	20	100	10
2959926_1	10	38	16	16	115	11
2959926_2	10	38	16	16	115	11
6363186	16	40	14	19	98	16
5121599_1	10	49	12	16	90	11
5121599_2	10	49	12	16	90	11
2449666	13	44	15	17	90	14
1502329	10	38	11	14	114	14
5533861	14	45	9	16	71	16
2431028	14	48	9	19	86	17
4641804	11	39	10	10	68	14
1615649_1	10	37	9	19	56	10
1615649_2	10	37	9	19	56	10
5939491	9	38	14	10	44	10
1105471	16	44	13	18	115	13
4635986	13	34	11	12	132	14
4307951	15	45	13	11	94	17
4606652	9	35	11	11	65	14
6495174	13	43	14	16	100	12
4396333	10	41	12	13	98	12
5127787	9	54	10	18	74	13
2983674	12	46	10	20	113	11
6007986_1	10	52	12	15	83	11
6007986_2	10	52	12	15	83	11
6007986_3	10	52	12	15	83	11
3286644	12	39	12	16	107	16
233716	10	32	11	12	52	11
1222452	9	36	9	19	50	16
721850_1	13	55	12	16	91	12
721850_2	13	55	12	16	91	12
4005556	12	41	14	14	67	12
371068	9	33	11	14	115	9
5329155	9	37	16	19	106	9
2639091	9	39	13	20	65	11
32949	14	49	15	13	106	13
4304638	10	23	11	9	89	9
4594512	14	43	9	9	97	9
6799844	15	40	12	9	86	18
3917858	9	42	9	19	107	14
6729528	9	47	11	22	83	17
3462037	16	54	12	19	85	11
4516075	11	46	10	23	102	11
3127021	14	46	16	20	80	10
6692263	9	44	10	18	106	10
237112	9	40	13	13	92	15
1671294	10	47	13	20	95	9
2983055	12	36	10	13	74	12
2659516	9	50	13	13	75	12
689590	11	42	10	18	125	12
5093480	10	33	13	17	107	13
5987456	14	37	10	13	132	12
2532545	9	50	11	9	72	13
1306915	10	32	9	20	121	9
994405	13	36	9	9	111	13
3845542	9	45	12	20	101	12
182090	10	46	14	20	96	17
4890497	14	46	9	16	102	13
3224243	15	43	11	18	93	15
3385318	13	39	9	16	118	9
5068930	10	43	9	9	106	17
748458	15	44	12	16	117	14
3148968	15	45	11	21	103	15
4082866	13	51	16	17	100	13
3294496	11	32	12	14	75	9
4582357	13	38	15	12	117	9
278701	11	37	15	10	129	9
1499067	9	41	9	18	90	15
3729766_1	11	34	10	16	118	10
3729766_2	11	34	10	16	118	10
521007	10	45	15	13	106	13
