TARA_142	TARA_147	TARA_150	TARA_151	TARA_7	TARA_80
1262534	15	13	15	14	17	74
1477243	12	11	10	17	15	76
4349321	16	12	12	24	14	78
2162587	12	11	14	13	13	66
116028	20	9	10	15	10	56
1552607	18	12	19	21	20	85
1132134	16	12	10	25	11	88
719467	14	15	20	18	13	55
5606224	14	14	13	19	10	44
14159	26	15	19	23	20	81
5293566	11	14	10	14	11	70
5302894_1	11	11	18	18	17	70
5302894_2	11	11	18	18	17	70
4941138	15	16	21	13	21	85
2808412	10	10	15	13	19	78
2012729	12	12	14	14	11	74
804752	13	18	14	10	10	73
551475	25	16	16	20	20	89
2190612	14	14	13	9	11	65
915350	11	16	16	11	20	99
543031_1	24	11	13	19	12	63
543031_2	24	11	13	19	12	63
37778	26	9	10	19	11	48
1968767	22	9	17	16	14	63
1840754	18	9	9	11	9	62
1771451	15	10	12	24	24	54
3135788	16	10	12	22	11	68
5665919	20	14	10	12	14	65
2754058	22	17	11	10	18	88
1516484	21	17	16	14	9	63
2013063_1	9	12	17	18	13	70
2013063_2	9	12	17	18	13	70
1490197	16	10	14	10	14	53
4973345	21	11	14	15	20	96
44552	19	12	12	11	15	67
771316	20	16	13	14	13	44
5296730	15	11	19	17	22	99
5048070	9	14	19	13	16	72
86272	11	12	19	18	13	62
5401757	10	10	9	15	20	94
5028091	13	17	11	13	17	63
3151079	13	13	17	20	14	69
660771	12	10	9	18	19	69
5435199	18	14	18	22	23	91
772381	17	10	14	14	13	60
251059	15	14	15	22	16	84
2509430	15	9	12	23	18	60
5485220_1	21	13	19	13	17	75
5485220_2	21	13	19	13	17	75
688159	10	11	12	21	15	89
2711384_1	11	13	17	21	19	78
2711384_2	11	13	17	21	19	78
2707563	14	12	17	11	21	63
5852588	13	13	16	14	20	67
3452322	13	13	12	11	11	68
5695113_1	21	18	16	24	22	62
5695113_2	21	18	16	24	22	62
2039569	11	13	13	14	16	53
2544194	12	10	19	21	16	73
4943062	25	10	9	19	15	54
227780	15	17	9	13	12	77
1008376	18	12	12	22	17	93
1421307	14	15	11	23	14	93
2216481	18	11	11	14	10	68
5483606	14	10	16	17	24	86
1484203	10	10	17	15	20	45
2227896_1	12	13	16	10	9	50
2227896_2	12	13	16	10	9	50
2231699	11	12	14	14	9	62
3536396_1	23	18	16	24	23	85
3536396_2	23	18	16	24	23	85
5247385	12	16	15	25	16	48
6035665	16	9	11	20	22	68
1381	20	16	9	21	12	85
1174663_1	9	10	18	22	13	75
1174663_2	9	10	18	22	13	75
803970	17	14	12	18	22	98
6569559	22	17	17	23	11	78
4915590	19	14	21	15	19	65
3547752	26	14	19	16	16	87
6564356	23	14	10	14	16	74
465547	15	14	13	19	12	98
2394553	19	17	12	9	20	79
2321746	14	12	14	19	14	62
5250620	20	14	16	18	19	95
5148956	12	18	14	23	15	72
5607449	23	12	10	17	14	91
2372235	13	18	10	25	11	55
1804310	15	19	14	26	22	82
702_1	9	9	17	9	11	75
702_2	9	9	17	9	11	75
6183831	24	19	21	18	14	63
4076378	11	15	10	13	13	86
123791	20	12	15	25	17	74
4934441	17	16	11	23	20	82
4953854	19	9	13	16	10	60
2211893	26	15	19	22	16	93
2232744	21	15	13	18	13	84
4326638	18	16	11	16	10	98
1030649	17	12	12	14	11	95
4962241	13	13	11	23	9	77
764589	16	9	12	17	14	46
1141651	12	12	16	12	24	60
2150000	12	14	13	13	16	73
5021290_1	11	13	17	19	21	89
5021290_2	11	13	17	19	21	89
5121539	16	13	20	22	11	87
1051342	17	13	13	15	12	49
122988	23	12	9	14	24	81
1850998	14	10	17	12	17	60
4944456	11	10	15	17	15	45
364700	17	9	15	17	22	79
289619	17	17	14	11	15	102
1110371	19	14	17	17	18	92
3369775	18	15	10	21	25	86
3252425	24	12	16	9	9	76
2307733	13	15	19	21	20	67
103494	21	13	11	22	12	49
3222344	19	11	13	9	9	83
636673	12	10	20	17	9	82
630098	16	13	18	15	11	52
376348	17	14	19	20	20	45
2100196_1	16	11	16	19	17	83
2100196_2	16	11	16	19	17	83
4999475	19	10	9	17	15	48
306243	19	18	17	26	23	92
1405015	16	10	11	20	10	102
2142801	10	12	19	19	18	77
5192987	17	16	9	23	19	82
774832	13	15	14	18	17	62
5031971	9	9	11	10	14	74
4054827	18	14	15	17	14	73
916197	14	13	13	22	22	55
5105112	18	13	10	25	21	76
229907	21	18	12	24	23	87
2641923	12	18	18	21	22	76
5814129	15	11	15	16	23	77
217824	9	12	9	21	19	58
552196	17	12	17	23	18	89
397049	23	14	17	18	13	79
1020476	11	10	12	14	18	58
1029799	13	12	16	15	13	86
2106842	18	9	10	23	21	48
1305410	24	12	16	10	15	58
1526942	11	12	10	13	13	55
2905104	15	12	9	18	24	88
158551	11	15	11	11	12	54
2505943	15	16	14	21	12	83
3148473	22	15	12	16	20	79
442918	21	19	18	18	19	74
5725308	17	19	16	22	17	77
978722	24	12	15	15	11	83
1563418	19	11	10	14	14	86
272615	21	12	14	13	13	85
702756	21	15	9	9	10	61
2959683	21	17	17	19	11	94
2235431	11	17	17	15	10	62
5785631	17	12	17	26	23	95
3296233_1	23	10	11	10	12	85
3296233_2	23	10	11	10	12	85
5237342	9	15	18	25	15	50
2908819	18	16	16	21	22	101
22789	21	13	9	19	19	99
745952	14	17	12	15	15	81
22824	19	15	17	23	17	104
764520	14	11	13	21	11	81
2246512_1	9	10	16	10	21	48
