TARA_143	TARA_144	TARA_147	TARA_149	TARA_150	TARA_151	TARA_70
5913076	36	14	47	11	13	18	10
4586936_1	47	28	68	9	24	19	14
4586936_2	47	28	68	9	24	19	14
1322616	41	21	52	18	21	13	10
311235	44	28	67	9	31	18	11
6330873	42	27	44	16	14	18	10
5498670	42	21	44	10	17	21	17
4501739	29	17	71	10	31	16	11
5918080_1	30	15	42	15	31	26	13
5918080_2	30	15	42	15	31	26	13
4910684	49	16	63	12	24	18	10
3485696	52	21	44	9	28	21	12
466434	35	15	56	13	19	21	12
1294348	28	19	42	16	24	20	12
2220023	24	13	39	9	15	13	9
3159923_1	33	14	62	10	35	15	9
3159923_2	33	14	62	10	35	15	9
5210415	31	10	50	14	34	23	10
761638	29	12	53	12	17	14	10
754687	34	24	67	14	29	22	9
2691967	34	21	47	13	28	27	9
4498327	28	24	68	15	22	13	13
2405888	42	19	53	15	28	12	10
3712192	23	23	43	14	33	16	9
42192	38	26	60	11	39	26	11
6309020_1	21	17	48	11	17	12	12
6309020_2	21	17	48	11	17	12	12
2838990	49	14	46	16	34	24	15
4371709	33	12	60	13	29	20	12
4084973	28	10	59	9	21	18	13
4382163	29	17	32	12	14	10	10
3650975	23	22	51	9	24	15	9
6538614	31	9	49	10	18	12	11
1508929	33	24	63	12	35	15	16
4676595	32	16	38	17	19	9	14
5480807_1	41	24	54	13	24	27	13
5480807_2	41	24	54	13	24	27	13
4169484	31	16	71	12	24	12	13
5300197	37	19	46	10	18	15	12
4328287_1	34	19	67	19	27	25	11
4328287_2	34	19	67	19	27	25	11
751022	42	20	76	16	30	28	10
2416515_1	23	12	49	14	23	18	16
2416515_2	23	12	49	14	23	18	16
1534321	43	22	43	11	22	16	14
5992729	43	18	45	10	22	20	12
6217946	31	20	54	9	29	9	11
2702774	33	12	48	10	27	14	11
5220097	25	15	53	11	37	10	9
460267	34	19	47	15	26	26	17
2194730	29	21	48	11	26	24	14
1872315	44	17	61	11	27	16	15
2993944	33	17	54	19	29	25	9
777098_1	30	13	59	9	31	9	9
777098_2	30	13	59	9	31	9	9
2356317_1	30	13	43	14	17	12	10
2356317_2	30	13	43	14	17	12	10
7123673	38	25	52	15	23	12	11
3778794	43	27	59	16	29	10	12
4059681	45	20	49	14	34	18	9
4999767_1	41	28	70	11	22	18	14
4999767_2	41	28	70	11	22	18	14
2941542	43	16	65	19	31	16	12
5394504	37	17	59	12	21	15	13
1340711_1	36	15	55	10	27	18	11
1340711_2	36	15	55	10	27	18	11
2780540	49	32	62	14	27	18	14
7110564	34	31	38	13	25	10	13
504816	33	15	32	16	19	16	10
4101173	38	27	54	9	21	16	11
2382605	47	27	63	12	31	24	9
5378417	51	30	54	15	32	23	12
5732300	32	15	52	13	29	19	10
4278879	33	21	57	12	25	12	12
3030053	27	22	73	12	28	17	10
4553153	32	14	65	13	23	10	16
1852540	25	28	49	9	31	12	15
4674786	35	22	46	9	29	16	15
1153058	35	18	72	14	34	26	9
4035639_1	29	16	45	9	18	15	13
4035639_2	29	16	45	9	18	15	13
6003184	44	20	65	14	37	27	17
5888082	51	16	74	13	39	20	12
4112870	38	27	58	14	21	18	9
4006260	49	25	52	10	29	22	16
3861426	39	22	42	12	24	23	12
3451500	34	27	43	13	15	19	9
1778367_1	33	13	42	11	27	21	9
1778367_2	33	13	42	11	27	21	9
4312873	27	23	50	9	35	22	10
3854613	34	23	56	10	23	18	11
6439047_1	39	27	72	13	35	21	10
6439047_2	39	27	72	13	35	21	10
802191	42	18	47	11	19	25	13
266521	44	22	45	12	27	20	14
2108846	44	15	76	17	38	26	9
2216220	29	18	70	10	29	20	13
6609146_1	36	14	73	9	20	10	13
6609146_2	36	14	73	9	20	10	13
981435_1	46	25	60	13	26	28	16
981435_2	46	25	60	13	26	28	16
2833625	27	19	72	15	27	13	16
6826519_1	35	21	59	16	22	14	12
6826519_2	35	21	59	16	22	14	12
1888294	44	23	54	10	29	13	16
4590238	26	23	38	19	19	13	14
3256163	26	21	54	11	18	9	11
146326	34	19	53	17	37	27	13
6446714	27	22	67	15	18	9	10
561139	40	26	61	19	32	18	14
3270237	22	11	36	13	22	18	11
6866421	44	19	77	15	36	23	12
6883900	43	18	75	9	30	16	15
3368267	48	29	62	10	24	26	11
440344	48	23	70	14	30	22	11
4600582_1	35	12	65	12	22	10	12
4600582_2	35	12	65	12	22	10	12
558433	29	29	60	10	27	17	14
6984045	34	32	66	9	32	20	12
6709023	41	27	64	12	27	16	11
6047533	35	21	74	9	25	13	16
